All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      velvet
# misassemblies               6     
    # relocations             6     
    # translocations          0     
    # inversions              0     
# misassembled contigs        6     
Misassembled contigs length   82242 
# local misassemblies         1     
# mismatches                  61    
# indels                      52    
    # short indels (<= 5 bp)  50    
    # long indels (> 5 bp)    2     
Indels length                 82    
