All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      BC-H-Abyss  BC-M-Abyss  BC-H-Cabog  BC-M-Cabog  BC-H-Mira  BC-M-Mira  BC-H-Msrca  BC-M-Msrca  BC-H-Sga  BC-M-Sga  BC-H-Soap  BC-M-Soap  BC-H-Spades  BC-M-Spades  BC-H-Velvet  BC-M-Velvet
# misassemblies               5           1           0           3           1          7          4           8           0         1         1          0          5            4            0            2          
    # relocations             5           1           0           3           1          7          4           8           0         1         1          0          5            4            0            2          
    # translocations          0           0           0           0           0          0          0           0           0         0         0          0          0            0            0            0          
    # inversions              0           0           0           0           0          0          0           0           0         0         0          0          0            0            0            0          
# misassembled contigs        4           1           0           3           1          6          3           8           0         1         1          0          5            3            0            2          
Misassembled contigs length   3003        29730       0           316206      995        467784     3269        274719      0         508       503        0          3725         1999         0            66858      
# local misassemblies         2           23          0           6           0          12         1           11          0         1         1          20         0            12           0            9          
# mismatches                  971         339         606         257         2593       253        645         484         1041      45        824        473        722          673          1027         313        
# indels                      60          417         53          124         90         114        46          188         31        103       30         153        55           151          35           162        
    # short indels (<= 5 bp)  59          330         53          120         90         110        45          184         31        97        30         145        55           137          35           155        
    # long indels (> 5 bp)    1           87          0           4           0          4          1           4           0         6         0          8          0            14           0            7          
Indels length                 75          2711        56          251         103        230        63          329         33        256       34         377        62           525          39           414        
