All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   MA-H-Abyss   MA-M-Abyss    MA-H-Cabog    MA-M-Cabog    MA-H-Mira    MA-M-Mira     MA-H-Msrca   MA-M-Msrca    MA-H-Sga      MA-M-Sga      MA-H-Soap    MA-M-Soap    MA-H-Spades  MA-M-Spades  MA-H-Velvet   MA-M-Velvet 
# contigs (>= 0 bp)        147          328           127           857           16036        2167          66           326           679           1230          143          197          99           910          189           286         
# contigs (>= 1000 bp)     87           131           127           856           59           103           57           316           281           612           65           84           60           53           132           189         
Total length (>= 0 bp)     5134453      5149082       5116091       5116733       7760947      5922392       5146013      5418490       5183701       5380709       5150322      5152802      5139836      5412372      5136597       5161555     
Total length (>= 1000 bp)  5116313      5104376       5116091       5116310       5136999      5167879       5140375      5411756       5107561       5193149       5131712      5128622      5122962      5146535      5122117       5127654     
# contigs                  96           149           127           856           82           532           63           325           304           666           71           91           74           73           138           203         
Total length               5123560      5116522       5116091       5116310       5151058      5431987       5144734      5418108       5122631       5232350       5136175      5133667      5132082      5158616      5126222       5136825     
Largest contig             610290       245660        238341        40668         338337       279306        375149       104386        101254        59847         474277       286460       627055       498363       191465        226629      
Reference length           23319        23319         23319         23319         23319        23319         23319        23319         23319         23319         23319        23319        23319        23319        23319         23319       
GC (%)                     64.10        64.10         64.10         64.08         64.11        64.09         64.13        64.10         64.11         64.08         64.09        64.09        64.11        64.02        64.11         64.07       
Reference GC (%)           67.86        67.86         67.86         67.86         67.86        67.86         67.86        67.86         67.86         67.86         67.86        67.86        67.86        67.86        67.86         67.86       
N50                        119446       70424         81416         8655          147272       89612         246830       36211         28734         12890         148639       131561       150258       220161       60955         47327       
NG50                       610290       245660        238341        40668         338337       279306        375149       104386        101254        59847         474277       286460       627055       498363       191465        226629      
N75                        68977        39013         42966         4755          109542       46469         110872       18405         17153         7614          88169        68567        94999        122266       37038         25959       
NG75                       610290       245660        238341        40668         338337       279306        375149       104386        101254        59847         474277       286460       627055       498363       191465        226629      
L50                        15           24            21            176           12           15            9            52            55            126           11           14           10           8            28            35          
LG50                       1            1             1             1             1            1             1            1             1             1             1            1            1            1            1             1           
L75                        29           48            43            378           22           36            17           104           110           255           22           29           20           16           54            71          
LG75                       1            1             1             1             1            1             1            1             1             1             1            1            1            1            1             1           
# unaligned contigs        96 + 0 part  149 + 0 part  127 + 0 part  856 + 0 part  82 + 0 part  532 + 0 part  63 + 0 part  325 + 0 part  304 + 0 part  666 + 0 part  71 + 0 part  91 + 0 part  74 + 0 part  73 + 0 part  138 + 0 part  203 + 0 part
Unaligned contigs length   5123560      5116522       5116091       5116310       5151058      5431987       5144734      5418108       5122631       5232350       5136175      5133667      5132082      5158616      5126222       5136825     
# N's per 100 kbp          12.10        4.28          0.70          0.00          2.06         3.04          0.00         0.00          0.00          0.00          0.00         0.00         0.00         3.57         0.00          0.00        
