Assembly	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet
# misassemblies	4	2	7	122	22	1085	6	70	3	6	8	5	4	6	4	72
    # relocations	4	2	7	122	22	1085	6	70	3	6	8	5	4	6	4	72
    # translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	4	2	7	115	15	456	6	69	3	6	7	5	4	6	4	54
Misassembled contigs length	302822	92402	612517	617425	1331243	2501821	1062986	471137	114888	78397	1261153	771028	551561	925594	215454	1569654
# local misassemblies	8	2	6	5	6	18	2	2	1	1	16	19	5	4	9	3
# mismatches	196	79	428	203	288	226	2511	146	55	73	86	105	107	237	152	125
# indels	109	70	292	36	44	38	330	83	75	21	63	66	84	54	46	35
    # short indels (<= 5 bp)	82	63	287	34	42	37	326	81	71	16	51	53	80	52	40	32
    # long indels (> 5 bp)	27	7	5	2	2	1	4	2	4	5	12	13	4	2	6	3
Indels length	657	203	427	103	141	83	509	126	176	175	372	474	215	127	237	154
