All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  NA50    NGA50   NA75   NGA75  LA50  LGA50  LA75  LGA75
MA-H-Abyss   147                  87                      5134453                 5116313                    96         5123560       610290          5067172           64.10   64.13             119446  119446  68977   68977   15   15    29   29    4                302822                       8                      0 + 3 part           66194                     99.529               1.019              12.10              3.93                      2.19                  610150             111763  115738  63561  63561  16    15     31    31   
MA-M-Abyss   328                  131                     5149082                 5104376                    149        5116522       245660          5067172           64.10   64.13             70424   70424   39013   39233   24   24    48   47    2                92402                        2                      0 + 5 part           78075                     99.382               1.004              4.28               1.59                      1.41                  245660             67488   68549   35186  36304  25    24     50    49   
MA-H-Cabog   127                  127                     5116091                 5116091                    127        5116091       238341          5067172           64.10   64.13             81416   81416   42966   43785   21   21    43   42    7                612517                       6                      0 + 6 part           65602                     99.345               1.004              0.70               8.55                      5.83                  238341             78165   78165   38766  40137  23    23     47    46   
MA-M-Cabog   857                  856                     5116733                 5116310                    856        5116310       40668           5067172           64.08   64.13             8655    8726    4755    4858    176  173   378  370   122              617425                       5                      5 + 14 part          75046                     96.629               1.030              0.00               4.15                      0.74                  40668              8265    8421    4459   4537   182   179    395   386  
MA-H-Mira    16036                59                      7760947                 5136999                    82         5151058       338337          5067172           64.11   64.13             147272  147272  109542  109542  12   12    22   22    22               1331243                      6                      0 + 1 part           25                        99.845               1.027              2.06               5.69                      0.87                  313312             129075  129075  88214  88214  15    15     26    26   
MA-M-Mira    2167                 103                     5922392                 5167879                    532        5431987       279306          5067172           64.09   64.13             89612   114083  46469   53780   15   13    36   30    1085             2501821                      18                     2 + 2 part           19005                     99.879               1.075              3.04               4.47                      0.75                  257874             69002   74997   33655  42986  23    20     50    42   
MA-H-Msrca   66                   57                      5146013                 5140375                    63         5144734       375149          5067172           64.13   64.13             246830  246830  110872  110872  9    9     17   17    6                1062986                      2                      0 + 0 part           0                         99.799               1.018              0.00               49.65                     6.53                  309535             187809  187809  88132  88132  10    10     19    19   
MA-M-Msrca   326                  316                     5418490                 5411756                    325        5418108       104386          5067172           64.10   64.13             36211   38240   18405   21939   52   48    104  91    70               471137                       2                      1 + 14 part          72188                     98.833               1.068              0.00               2.92                      1.66                  104372             35496   37156   17197  20043  53    49     109   94   
MA-H-Sga     679                  281                     5183701                 5107561                    304        5122631       101254          5067172           64.11   64.13             28734   28781   17153   17379   55   54    110  108   3                114888                       1                      0 + 3 part           66157                     99.314               1.005              0.00               1.10                      1.50                  101254             27712   27760   15475  16215  57    56     116   113  
MA-M-Sga     1230                 612                     5380709                 5193149                    666        5232350       59847           5067172           64.08   64.13             12890   13391   7614    8099    126  120   255  240   6                78397                        1                      5 + 5 part           72708                     99.532               1.023              0.00               1.45                      0.42                  59847              12516   12871   6950   7675   130   124    265   248  
MA-H-Soap    143                  65                      5150322                 5131712                    71         5136175       474277          5067172           64.09   64.13             148639  148639  88169   89212   11   11    22   21    8                1261153                      16                     1 + 1 part           17284                     99.653               1.022              0.00               1.71                      1.25                  474277             147199  147199  75472  75472  12    12     24    24   
MA-M-Soap    197                  84                      5152802                 5128622                    91         5133667       286460          5067172           64.09   64.13             131561  131561  68567   68982   14   14    29   28    5                771028                       19                     1 + 1 part           17284                     99.595               1.028              0.00               2.08                      1.31                  261142             113272  113272  63022  63420  15    15     32    31   
MA-H-Spades  99                   60                      5139836                 5122962                    74         5132082       627055          5067172           64.11   64.13             150258  150258  94999   107346  10   10    20   19    4                551561                       5                      0 + 1 part           54213                     99.699               1.013              0.00               2.14                      1.68                  627055             147871  147871  80282  80282  10    10     21    21   
MA-M-Spades  910                  53                      5412372                 5146535                    73         5158616       498363          5067172           64.02   64.13             220161  220161  122266  122266  8    8     16   16    6                925594                       4                      20 + 0 part          16591                     99.871               1.020              3.57               4.68                      1.07                  498363             209894  209894  89745  95280  9     9      18    17   
MA-H-Velvet  189                  132                     5136597                 5122117                    138        5126222       191465          5067172           64.11   64.13             60955   61615   37038   37549   28   27    54   53    4                215454                       9                      0 + 2 part           66112                     99.603               1.019              0.00               3.05                      0.92                  191465             58337   60267   34078  35836  29    28     57    56   
MA-M-Velvet  286                  189                     5161555                 5127654                    203        5136825       226629          5067172           64.07   64.13             47327   48155   25959   26238   35   34    71   69    72               1569654                      3                      1 + 7 part           46877                     99.420               1.018              0.00               2.48                      0.70                  130350             40129   41485   20444  20620  40    39     83    81   
