All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes       Largest alignment  NGA50  NGA75  LGA50  LGA75
RS-H-Abyss   1557                 464                     4633465                 4501467                    520        4542138       66408           114179            68.72   70.07             13523   66408   8662    55823   98   1     205  2     0                0                            0                      500 + 5 part         4420814                   99.281               1.070              0.18               7.06                      2.65                  93 + 12 part  19894              11249  8381   5      7    
RS-M-Abyss   846                  339                     4567617                 4474301                    382        4503182       71578           114179            68.77   70.07             22050   71578   11736   66861   67   1     137  2     0                0                            0                      372 + 1 part         4389222                   99.710               1.001              0.00               7.91                      2.64                  99 + 6 part   25367              18316  15260  3      5    
RS-H-Cabog   539                  531                     4216057                 4212622                    534        4214745       41321           114179            68.94   70.07             12421   40728   7179    39333   111  2     222  3     0                0                            0                      510 + 4 part         4100211                   97.634               1.027              0.00               2.69                      0.00                  86 + 17 part  15696              6765   4723   5      11   
RS-M-Cabog   148                  145                     3952878                 3952023                    146        3952525       127844          114179            69.06   70.07             41794   127844  22363   127844  30   1     64   1     0                0                            0                      142 + 4 part         3950785                   1.094                1.393              5.31               0.00                      0.00                  0 + 1 part    705                -      -      -      -    
RS-H-Mira    1581                 446                     4725855                 4355336                    640        4494266       110511          114179            68.89   70.07             18568   110511  9191    110511  69   1     154  1     0                0                            0                      586 + 3 part         4384741                   94.178               1.019              5.36               9.30                      3.72                  63 + 41 part  5728               3043   1444   14     28   
RS-M-Mira    885                  528                     4662776                 4462783                    731        4609809       67456           114179            68.75   70.07             15792   67456   8236    64176   90   1     191  2     0                0                            0                      623 + 9 part         4481889                   98.417               1.138              2.58               16.02                     2.67                  44 + 61 part  5447               1491   1045   24     47   
RS-H-Msrca   130                  89                      4489204                 4468382                    106        4479673       358962          114179            68.87   70.07             176783  358962  102004  358962  10   1     18   1     0                0                            0                      97 + 7 part          4364145                   100.000              1.012              0.00               91.96                     3.50                  104 + 1 part  57658              57658  56694  1      2    
RS-M-Msrca   63                   53                      4247935                 4242597                    58         4246144       241348          114179            68.90   70.07             142742  241348  102371  241348  12   1     21   1     0                0                            0                      52 + 6 part          4244547                   0.930                1.504              0.00               376.65                    94.16                 0 + 1 part    938                -      -      -      -    
RS-H-Sga     12186                511                     5704978                 4164683                    577        4211737       75323           114179            68.70   70.07             12872   75323   6960    61836   96   1     204  2     0                0                            0                      555 + 5 part         4103886                   94.031               1.005              0.00               2.79                      0.00                  86 + 18 part  17253              12345  3236   4      9    
RS-M-Sga     1032                 726                     4621116                 4486986                    830        4563433       44874           114179            68.79   70.07             9224    39550   4941    36957   150  2     321  3     0                0                            0                      802 + 8 part         4447939                   99.156               1.020              0.00               7.07                      2.65                  89 + 16 part  16390              7865   4579   5      10   
RS-H-Soap    7436                 613                     5220141                 4360313                    720        4440636       45522           114179            68.88   70.07             11128   40274   5955    40274   121  2     259  2     0                0                            1                      685 + 1 part         4333034                   93.752               1.005              0.00               33.63                     67.26                 70 + 34 part  13961              4127   2285   10     18   
RS-M-Soap    441                  302                     4554476                 4489150                    354        4527360       115051          114179            68.83   70.07             33829   115051  16889   115051  44   1     88   1     0                0                            0                      334 + 4 part         4415334                   97.250               1.009              0.00               4.50                      0.00                  89 + 15 part  32606              16585  8089   3      5    
RS-H-Spades  350                  134                     4670077                 4607692                    163        4628908       291333          114179            68.83   70.07             74486   291333  47310   291333  19   1     38   1     0                0                            0                      156 + 5 part         4506828                   100.000              1.069              14.93              7.01                      2.63                  104 + 1 part  94324              94324  94324  1      1    
RS-M-Spades  275                  100                     4618855                 4584948                    105        4588344       286217          114179            68.81   70.07             118093  286217  53389   286217  15   1     30   1     0                0                            0                      93 + 9 part          4465981                   100.000              1.072              10.16              13.14                     2.63                  103 + 2 part  61232              61232  32309  1      2    
RS-H-Velvet  798                  513                     4525236                 4422515                    586        4475470       59062           114179            68.76   70.07             13807   59062   7500    53938   98   1     207  2     0                0                            0                      568 + 1 part         4363348                   98.079               1.001              0.00               13.39                     2.68                  91 + 14 part  19624              10332  5728   4      8    
RS-M-Velvet  655                  307                     4537774                 4467985                    332        4485514       71713           114179            68.77   70.07             24347   71713   14804   70664   58   1     115  2     0                0                            0                      320 + 1 part         4371326                   99.816               1.002              0.00               8.77                      2.63                  97 + 8 part   42054              19945  7084   2      4    
