All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      RS-H-Abyss  RS-M-Abyss  RS-H-Cabog  RS-M-Cabog  RS-H-Mira  RS-M-Mira  RS-H-Msrca  RS-M-Msrca  RS-H-Sga  RS-M-Sga  RS-H-Soap  RS-M-Soap  RS-H-Spades  RS-M-Spades  RS-H-Velvet  RS-M-Velvet
# misassemblies               0           0           0           0           0          1          1           0           0         0         0          0          0            0            0            0          
    # relocations             0           0           0           0           0          1          1           0           0         0         0          0          0            0            0            0          
    # translocations          0           0           0           0           0          0          0           0           0         0         0          0          0            0            0            0          
    # inversions              0           0           0           0           0          0          0           0           0         0         0          0          0            0            0            0          
# misassembled contigs        0           0           0           0           0          1          1           0           0         0         0          0          0            0            0            0          
Misassembled contigs length   0           0           0           0           0          20420      797         0           0         0         0          0          0            0            0            0          
# local misassemblies         0           0           0           0           0          0          0           0           0         0         0          0          0            0            0            0          
# mismatches                  5           0           6           1           52         17         11          15          5         4         5          11         6            2            3            0          
# indels                      5           5           2           0           1          1          6           8           0         5         0          1          5            6            5            5          
    # short indels (<= 5 bp)  5           5           2           0           1          0          5           8           0         5         0          0          5            5            5            5          
    # long indels (> 5 bp)    0           0           0           0           0          1          1           0           0         0         0          1          0            1            0            0          
Indels length                 7           7           2           0           1          6          13          13          0         7         0          6          7            13           7            7          
