Assembly	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet
# misassemblies	0	0	0	0	1	0	0	1
    # relocations	0	0	0	0	1	0	0	0
    # translocations	0	0	0	0	0	0	0	0
    # inversions	0	0	0	0	0	0	0	1
# misassembled contigs	0	0	0	0	1	0	0	1
Misassembled contigs length	0	0	0	0	1721	0	0	1703
# local misassemblies	0	0	0	0	0	0	0	0
# mismatches	9	6	126	6	21	6	6	12
# indels	0	0	32	0	1	0	0	0
    # short indels (<= 5 bp)	0	0	32	0	1	0	0	0
    # long indels (> 5 bp)	0	0	0	0	0	0	0	0
Indels length	0	0	32	0	1	0	0	0
