All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     SA-H-Abyss   SA-H-Cabog   SA-H-Mira     SA-H-Msrca   SA-H-Sga      SA-H-Soap    SA-H-Spades  SA-H-Velvet
# contigs (>= 0 bp)          132          56           256           52           1921          278          72           82         
# contigs (>= 1000 bp)       89           56           68            35           130           48           40           57         
Total length (>= 0 bp)       3040616      2796508      2890706       2896852      3024925       2856225      2861974      2829571    
Total length (>= 1000 bp)    3031704      2796508      2825994       2889489      2774031       2820329      2851518      2822704    
# contigs                    92           56           110           39           150           52           44           60         
Total length                 3034102      2796508      2853942       2892444      2787797       2822930      2854235      2824718    
Largest contig               244957       285328       379101        449789       173010        364183       350174       336190     
Reference length             3125         3125         3125          3125         3125          3125         3125         3125       
GC (%)                       32.92        32.73        32.75         32.85        32.63         32.69        32.78        32.73      
Reference GC (%)             28.74        28.74        28.74         28.74        28.74         28.74        28.74        28.74      
N50                          64963        111165       132448        221821       39954         146332       187080       122507     
NG50                         244957       285328       379101        449789       173010        364183       350174       336190     
N75                          38351        56580        50006         123428       28545         92436        105739       52580      
NG75                         244957       285328       379101        449789       173010        364183       350174       336190     
L50                          13           7            7             5            22            7            6            7          
LG50                         1            1            1             1            1             1            1            1          
L75                          29           16           16            9            43            13           11           15         
LG75                         1            1            1             1            1             1            1            1          
# misassemblies              -            -            0             -            0             -            -            0          
Misassembled contigs length  -            -            0             -            0             -            -            0          
# local misassemblies        -            -            0             -            0             -            -            0          
# unaligned contigs          92 + 0 part  56 + 0 part  107 + 3 part  39 + 0 part  148 + 2 part  52 + 0 part  44 + 0 part  58 + 2 part
Unaligned contigs length     3034102      2796508      2853230       2892444      2787320       2822930      2854235      2824268    
Genome fraction (%)          -            -            11.424        -            9.376         -            -            9.376      
Duplication ratio            -            -            1.994         -            1.628         -            -            1.536      
# N's per 100 kbp            0.00         0.00         1.61          0.00         0.00          0.00         2.00         0.00       
# mismatches per 100 kbp     -            -            2074.69       -            2580.65       -            -            2739.73    
# indels per 100 kbp         -            -            414.94        -            0.00          -            -            0.00       
# genes                      -            -            0 + 1 part    -            0 + 1 part    -            -            0 + 1 part 
Largest alignment            -            -            242           -            155           -            -            146        
