1	174	113	1314	32	2186	216	339	103	
2	52	81	58	25	132	36	38	51	
3	4985428	5009370	5269026	4915618	5123704	4915552	5011698	4895627	
4	4967717	4994206	4921055	4912397	4862122	4885465	4923079	4884654	
5	54	94	118	28	144	41	47	53	
6	4969260	5004541	4958807	4914380	4869935	4888841	4929385	4886581	
7	654090	710684	290325	1124684	199964	455879	592124	526254	
8	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	
9	61.53	61.60	61.57	61.61	61.62	61.61	61.54	61.61	
10	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	
11	237457	278382	244066	828647	67129	243851	379681	180361	
12	237457	278382	246249	828647	68839	243851	379681	184389	
13	121603	133236	137773	235264	38026	136903	129901	93861	
14	122207	156215	140806	245339	40005	165019	137987	104748	
15	7	6	10	3	25	8	5	9	
16	7	6	9	3	24	8	5	8	
17	15	12	16	7	50	15	12	18	
18	14	11	15	6	47	14	11	17	
19	0	2	1	2	3	0	1	0	
20	0	28456	19737	3104	131784	0	579	0	
21	0	1	3	0	9	0	0	0	
22	12	40	72	2	68	6	13	10	
23	4234083	4265289	4226670	4256366	4059484	4182196	4192431	4183402	
24	15.010	14.751	15.145	13.728	15.852	14.870	15.166	14.808	
25	1.032	1.056	1.021	1.010	1.078	1.002	1.024	1.001	
26	1.83	0.00	4.21	0.00	0.00	0.00	1.28	0.00	
27	2686.51	3837.64	3566.60	3634.39	4131.45	3967.49	3611.13	3648.52	
28	112.68	141.51	156.57	140.76	166.19	140.82	134.68	120.10	
29	607	598t	633	565	623	603	617	606	
30	52419	52397	52419	52419	52419	52419	52419	52419	
