AH-H-Abyss	AH-H-Cabog	AH-H-Mira	AH-H-Msrca	AH-H-Sga	AH-H-Soap	AH-H-Spades	AH-H-Velvet	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet	BF-H-Abyss	BF-H-Cabog	BF-H-Mira	BF-H-Msrca	BF-H-Sga	BF-H-Soap	BF-H-Spades	BF-H-Velvet	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	VC-H-Abyss	VC-M-Abyss	VC-H-Cabog	VC-M-Cabog	VC-H-Mira	VC-M-Mira	VC-H-Msrca	VC-M-Msrca	VC-H-Sga	VC-M-Sga	VC-H-Soap	VC-M-Soap	VC-H-Spades	VC-M-Spades	VC-H-Velvet	VC-M-Velvet	VC-H-Abyss	VC-M-Abyss	VC-H-Cabog	VC-M-Cabog	VC-H-Mira	VC-M-Mira	VC-H-Msrca	VC-M-Msrca	VC-H-Sga	VC-M-Sga	VC-H-Soap	VC-M-Soap	VC-H-Spades	VC-M-Spades	VC-H-Velvet	VC-M-Velvet	XA-H-Abyss	XA-H-Cabog	XA-H-Mira	XA-H-Msrca	XA-H-Sga	XA-H-Soap	XA-H-Spades	XA-H-Velvet
1	54	94	118	28	144	41	47	53	374	87	163	77	610	132	210	68	567	361	284	79	252	113	282	373	374	87	163	77	610	132	210	68	567	361	284	79	252	113	282	373	149	136	174	109	281	149	110	142	96	149	127	856	82	532	63	325	304	666	71	91	74	73	138	203	96	149	127	856	82	532	63	325	304	666	71	91	74	73	138	203	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332	92	56	110	39	150	52	44	60	92	56	110	39	150	52	44	60	92	56	110	39	150	52	44	60	153	196	127	241	152	154	91	163	351	326	100	186	162	146	213	156	153	196	127	241	152	154	91	163	351	326	100	186	162	146	213	156	154	89	1158	138	230	163	156	156
2	174	113	1314	32	2186	216	339	103	894	617	164	78	687	164	259	90	30012	3344	3161	123	1127	50090	527	444	894	617	164	78	687	164	259	90	30012	3344	3161	123	1127	50090	527	444	168	138	542	119	2291	402	151	246	147	328	127	857	16036	2167	66	326	679	1230	143	197	99	910	189	286	147	328	127	857	16036	2167	66	326	679	1230	143	197	99	910	189	286	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655	132	56	256	52	1921	278	72	82	132	56	256	52	1921	278	72	82	132	56	256	52	1921	278	72	82	338	564	128	241	2673	501	105	173	2596	1901	344	312	207	1486	325	209	338	564	128	241	2673	501	105	173	2596	1901	344	312	207	1486	325	209	2372	189	2969	155	85148	2056	453	258
3	52	81	58	25	132	36	38	51	325	82	163	77	437	96	180	55	463	320	248	73	179	99	251	351	325	82	163	77	437	96	180	55	463	320	248	73	179	99	251	351	141	136	109	102	233	118	86	120	87	131	127	856	59	103	57	316	281	612	65	84	60	53	132	189	87	131	127	856	59	103	57	316	281	612	65	84	60	53	132	189	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307	89	56	68	35	130	48	40	57	89	56	68	35	130	48	40	57	89	56	68	35	130	48	40	57	121	149	127	241	115	96	80	142	285	247	81	147	121	73	183	124	121	149	127	241	115	96	80	142	285	247	81	147	121	73	183	124	134	89	472	99	199	146	117	134
4	654090	710684	290325	1124684	199964	455879	592124	526254	257581	430487	387299	258489	524448	311769	397830	766822	108975	106317	268115	606530	459337	346945	267159	91844	257581	430487	387299	258489	524448	311769	397830	766822	108975	106317	268115	606530	459337	346945	267159	91844	419237	363813	378585	391846	188622	384109	534462	286976	610290	245660	238341	40668	338337	279306	375149	104386	101254	59847	474277	286460	627055	498363	191465	226629	610290	245660	238341	40668	338337	279306	375149	104386	101254	59847	474277	286460	627055	498363	191465	226629	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713	244957	285328	379101	449789	173010	364183	350174	336190	244957	285328	379101	449789	173010	364183	350174	336190	244957	285328	379101	449789	173010	364183	350174	336190	280277	178118	256726	140691	316666	450326	555664	255146	108154	105420	425556	246179	214711	741022	157783	246346	280277	178118	256726	140691	316666	450326	555664	255146	108154	105420	425556	246179	214711	741022	157783	246346	196813	312406	352831	322669	132038	196882	312376	307295
5	4969260	5004541	4958807	4914380	4869935	4888841	4929385	4886581	5805336	5380960	4796994	5419570	5641826	5413818	5624071	5432639	5471145	5368062	5599263	5341631	5729752	5395402	4966856	5310336	5805336	5380960	4796994	5419570	5641826	5413818	5624071	5432639	5471145	5368062	5599263	5341631	5729752	5395402	4966856	5310336	7036707	5213908	5340833	5392427	5209075	5262789	5319487	5261270	5123560	5116522	5116091	5116310	5151058	5431987	5144734	5418108	5122631	5232350	5136175	5133667	5132082	5158616	5126222	5136825	5123560	5116522	5116091	5116310	5151058	5431987	5144734	5418108	5122631	5232350	5136175	5133667	5132082	5158616	5126222	5136825	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514	3034102	2796508	2853942	2892444	2787797	2822930	2854235	2824718	3034102	2796508	2853942	2892444	2787797	2822930	2854235	2824718	3034102	2796508	2853942	2892444	2787797	2822930	2854235	2824718	4086478	3904784	3855600	3953298	3957629	4011692	3989162	4030761	3890290	3931012	3932751	3924635	3939988	4035776	3914915	3944260	4086478	3904784	3855600	3953298	3957629	4011692	3989162	4030761	3890290	3931012	3932751	3924635	3939988	4035776	3914915	3944260	4913650	4836665	6022342	4928115	4798962	4900579	4971240	4889453
6	4985428	5009370	5269026	4915618	5123704	4915552	5011698	4895627	5879341	5431491	4797470	5419995	5670388	5422635	5640375	5440292	8771094	6180355	5991251	5352193	5962659	17888992	5016338	5325180	5879341	5431491	4797470	5419995	5670388	5422635	5640375	5440292	8771094	6180355	5991251	5352193	5962659	17888992	5016338	5325180	7041280	5214282	5433200	5396385	5508253	5314517	5332156	5289907	5134453	5149082	5116091	5116733	7760947	5922392	5146013	5418490	5183701	5380709	5150322	5152802	5139836	5412372	5136597	5161555	5134453	5149082	5116091	5116733	7760947	5922392	5146013	5418490	5183701	5380709	5150322	5152802	5139836	5412372	5136597	5161555	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774	3040616	2796508	2890706	2896852	3024925	2856225	2861974	2829571	3040616	2796508	2890706	2896852	3024925	2856225	2861974	2829571	3040616	2796508	2890706	2896852	3024925	2856225	2861974	2829571	4115424	3959969	3855763	3953298	4337203	4112140	3994617	4034988	4171725	4357240	3969747	3954533	3955126	4451154	3939751	3960394	4115424	3959969	3855763	3953298	4337203	4112140	3994617	4034988	4171725	4357240	3969747	3954533	3955126	4451154	3939751	3960394	5086459	4848222	6588629	4935414	13567484	5187613	5014024	4913541
7	4967717	4994206	4921055	4912397	4862122	4885465	4923079	4884654	5771919	5376981	4796994	5419570	5517018	5389079	5602907	5422846	5397822	5340740	5573897	5337776	5678972	5385812	4944132	5295268	5771919	5376981	4796994	5419570	5517018	5389079	5602907	5422846	5397822	5340740	5573897	5337776	5678972	5385812	4944132	5295268	7031322	5213908	5299150	5386876	5177435	5241412	5302376	5246405	5116313	5104376	5116091	5116310	5136999	5167879	5140375	5411756	5107561	5193149	5131712	5128622	5122962	5146535	5122117	5127654	5116313	5104376	5116091	5116310	5136999	5167879	5140375	5411756	5107561	5193149	5131712	5128622	5122962	5146535	5122117	5127654	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985	3031704	2796508	2825994	2889489	2774031	2820329	2851518	2822704	3031704	2796508	2825994	2889489	2774031	2820329	2851518	2822704	3031704	2796508	2825994	2889489	2774031	2820329	2851518	2822704	4065299	3872255	3855600	3953298	3932194	3971344	3980159	4014349	3844703	3875237	3919085	3895651	3912505	3990044	3894214	3921645	4065299	3872255	3855600	3953298	3932194	3971344	3980159	4014349	3844703	3875237	3919085	3895651	3912505	3990044	3894214	3921645	4899971	4836665	5551355	4901466	4776687	4888668	4942328	4874782
8	237457	278382	244066	828647	67129	243851	379681	180361	42572	130570	79405	155352	43373	116480	97165	246697	23397	25767	57780	246346	94312	103691	44126	24786	42572	130570	79405	155352	43373	116480	97165	246697	23397	25767	57780	246346	94312	103691	44126	24786	106769	95840	134263	158716	45047	125627	157732	125214	119446	70424	81416	8655	147272	89612	246830	36211	28734	12890	148639	131561	150258	220161	60955	47327	119446	70424	81416	8655	147272	89612	246830	36211	28734	12890	148639	131561	150258	220161	60955	47327	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347	64963	111165	132448	221821	39954	146332	187080	122507	64963	111165	132448	221821	39954	146332	187080	122507	64963	111165	132448	221821	39954	146332	187080	122507	94508	60973	61249	33710	92000	112926	241604	76131	23808	27573	135118	71357	83518	262160	40877	92036	94508	60973	61249	33710	92000	112926	241604	76131	23808	27573	135118	71357	83518	262160	40877	92036	89864	107676	91268	117883	49072	79834	117467	83025
9	121603	133236	137773	235264	38026	136903	129901	93861	19054	69698	31477	76333	15003	52231	34913	170659	10868	16197	21257	78462	37419	60216	20909	13917	19054	69698	31477	76333	15003	52231	34913	170659	10868	16197	21257	78462	37419	60216	20909	13917	56017	42294	84346	74628	26391	58562	86371	59460	68977	39013	42966	4755	109542	46469	110872	18405	17153	7614	88169	68567	94999	122266	37038	25959	68977	39013	42966	4755	109542	46469	110872	18405	17153	7614	88169	68567	94999	122266	37038	25959	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804	38351	56580	50006	123428	28545	92436	105739	52580	38351	56580	50006	123428	28545	92436	105739	52580	38351	56580	50006	123428	28545	92436	105739	52580	58395	27970	29636	17245	56477	59711	85155	45736	12382	15449	65780	37218	46841	136216	22754	43442	58395	27970	29636	17245	56477	59711	85155	45736	12382	15449	65780	37218	46841	136216	22754	43442	47805	55276	21435	61875	23614	41329	63036	42656
10	7	6	10	3	25	8	5	9	38	12	17	13	28	14	16	6	69	64	30	6	15	17	33	65	38	12	17	13	28	14	16	6	69	64	30	6	15	17	33	65	19	18	12	11	38	14	10	14	15	24	21	176	12	15	9	52	55	126	11	14	10	8	28	35	15	24	21	176	12	15	9	52	55	126	11	14	10	8	28	35	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58	13	7	7	5	22	7	6	7	13	7	7	5	22	7	6	7	13	7	7	5	22	7	6	7	13	21	19	34	14	9	6	16	49	45	10	15	16	5	30	15	13	21	19	34	14	9	6	16	49	45	10	15	16	5	30	15	21	16	21	15	35	21	16	20
