All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      dataset_497.dat  dataset_498.dat  dataset_499.dat
# misassemblies               0                0                0              
    # relocations             0                0                0              
    # translocations          0                0                0              
    # inversions              0                0                0              
# misassembled contigs        0                0                0              
Misassembled contigs length   0                0                0              
# local misassemblies         2                0                3              
# mismatches                  12               2                8              
# indels                      11               5                5              
    # short indels (<= 5 bp)  7                5                5              
    # long indels (> 5 bp)    4                0                0              
Indels length                 89               5                5              
