Assembly	BC-M-Abyss	BC-M-Cabog	BC-M-Mira	BC-M-Msrca	BC-M-Sga	BC-M-Soap	BC-M-Spades	BC-M-Velvet
# contigs (>= 0 bp)	617	78	164	90	3344	123	50090	444
# contigs (>= 1000 bp)	82	77	96	55	320	73	99	351
Total length (>= 0 bp)	5431491	5419995	5422635	5440292	6180355	5352193	17888992	5325180
Total length (>= 1000 bp)	5376981	5419570	5389079	5422846	5340740	5337776	5385812	5295268
# contigs	87	77	132	68	361	79	113	373
Total length	5380960	5419570	5413818	5432639	5368062	5341631	5395402	5310336
Largest contig	430487	258489	311769	766822	106317	606530	346945	91844
GC (%)	35.30	35.41	35.42	35.39	35.30	35.28	35.36	35.29
N50	130570	155352	116480	246697	25767	246346	103691	24786
N75	69698	76333	52231	170659	16197	78462	60216	13917
L50	12	13	14	6	64	6	17	65
L75	26	26	32	13	129	16	34	136
# N's per 100 kbp	102.42	0.00	3.53	0.00	0.00	0.00	4.10	0.00
