All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      A.hydrophila  B.cereus
# misassemblies               1             5       
    # relocations             1             5       
    # translocations          0             0       
    # inversions              0             0       
# misassembled contigs        1             5       
Misassembled contigs length   579           3725    
# local misassemblies         0             0       
# mismatches                  2011          722     
# indels                      75            55      
    # short indels (<= 5 bp)  73            55      
    # long indels (> 5 bp)    2             0       
Indels length                 107           62      
