All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      dataset_658.dat
# misassemblies               8              
    # relocations             8              
    # translocations          0              
    # inversions              0              
# misassembled contigs        8              
Misassembled contigs length   22901          
# local misassemblies         1              
# mismatches                  239            
# indels                      54             
    # short indels (<= 5 bp)  52             
    # long indels (> 5 bp)    2              
Indels length                 72             
