All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      SA-H-Abyss-Contig  SA-H-Cabog-Contig  SA-H-Mira-Contig  SA-H-Msrca-Contig  SA-H-Sga-Contig  SA-H-Soap-Contig  SA-H-Spades-Contig  SA-H-Velvet-Contig  SA-H-Abyss-Scaffold  SA-H-Cabog-Scaffold  SA-H-Msrca-Scaffold  SA-H-Sga-Scaffold  SA-H-Soap-Scaffold  SA-H-Spades-Scaffold  SA-H-Velvet-Scaffold
# misassemblies               62                 78                 80                75                 34               61                67                  66                  67                   81                   76                   35                 65                  67                    68                  
    # relocations             61                 78                 77                74                 33               60                66                  64                  66                   81                   75                   35                 64                  66                    65                  
    # translocations          1                  0                  2                 0                  1                0                 0                   1                   1                    0                    0                    0                  0                   0                     1                   
    # inversions              0                  0                  1                 1                  0                1                 1                   1                   0                    0                    1                    0                  1                   1                     2                   
# misassembled contigs        37                 27                 31                21                 28               25                19                  29                  36                   25                   22                   24                 25                  19                    26                  
Misassembled contigs length   2018672            2395546            2301598           2708175            1102196          2429427           2666808             2360697             2112468              2449074              2710331              1285671            2465736             2666808               2567653             
# local misassemblies         68                 63                 77                78                 44               79                83                  78                  77                   64                   78                   50                 80                  83                    80                  
# mismatches                  22197              22101              22751             23308              20963            22361             22487               22661               22520                22102                23306                21000              22338               22485                 22660               
# indels                      1594               1877               1589              1553               1005             1408              1364                1548                1497                 1877                 1553                 1240               1408                1364                  1624                
    # short indels (<= 5 bp)  1531               1780               1513              1473               951              1332              1281                1478                1422                 1780                 1473                 1165               1332                1281                  1554                
    # long indels (> 5 bp)    63                 97                 76                80                 54               76                83                  70                  75                   97                   80                   75                 76                  83                    70                  
Indels length                 2821               3734               3165              3083               2304             2952              3031                2901                2875                 3734                 3091                 2870               2952                3031                  2977                
