All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     209_MA-H-Abyss-Scaffold broken    209_MA-H-Abyss-Scaffold    209_MA-H-Cabog-Scaffold broken    209_MA-H-Cabog-Scaffold    209_MA-H-Msrca-Scaffold broken    209_MA-H-Msrca-Scaffold    209_MA-H-Sga-Scaffold broken    209_MA-H-Sga-Scaffold    209_MA-H-Soap-Scaffold broken    209_MA-H-Soap-Scaffold    209_MA-H-Spades-Scaffold broken    209_MA-H-Spades-Scaffold    209_MA-H-Velvet-Scaffold broken    209_MA-H-Velvet-Scaffold    211_MA-M-Abyss-Scaffold broken    211_MA-M-Abyss-Scaffold    211_MA-M-Cabog-Scaffold broken    211_MA-M-Cabog-Scaffold    211_MA-M-Msrca-Scaffold broken    211_MA-M-Msrca-Scaffold    211_MA-M-Sga-Scaffold broken    211_MA-M-Sga-Scaffold    211_MA-M-Soap-Scaffold broken    211_MA-M-Soap-Scaffold    211_MA-M-Spades-Scaffold broken    211_MA-M-Spades-Scaffold    211_MA-M-Velvet-Scaffold broken    211_MA-M-Velvet-Scaffold
# contigs (>= 0 bp)          132                               98                         128                               109                        66                                59                         363                             363                      143                              136                       73                                 73                          189                                108                         335                               326                        857                               847                        326                               325                        815                             815                      197                              184                       910                                910                         286                                236                         
# contigs (>= 1000 bp)       83                                59                         127                               109                        57                                50                         281                             281                      65                               61                        52                                 52                          132                                53                          138                               129                        856                               847                        316                               315                        611                             611                      84                               72                        53                                 53                          189                                140                         
Total length (>= 0 bp)       5132640                           5136030                    5116063                           5116469                    5146013                           5146153                    5140237                         5140237                  5150322                          5151033                   5464743                            5464743                     5136597                            5150090                     5148880                           5149182                    5116733                           5116933                    5418490                           5418510                    5276979                         5276979                  5152802                          5153908                   5417758                            5417758                     5161555                            5162443                     
Total length (>= 1000 bp)    5118354                           5126457                    5116053                           5116469                    5140375                           5140515                    5107561                         5107561                  5131712                          5133645                   5457060                            5457060                     5122117                            5136322                     5104174                           5104476                    5116310                           5116933                    5411756                           5411776                    5187517                         5187517                  5128622                          5129865                   5151921                            5151921                     5127654                            5128837                     
# contigs                    90                                64                         127                               109                        63                                56                         301                             301                      71                               66                        57                                 57                          138                                59                          156                               147                        856                               847                        325                               324                        664                             664                      91                               79                        73                                 73                          203                                154                         
Total length                 5123853                           5130175                    5116053                           5116469                    5144734                           5144874                    5120987                         5120987                  5136175                          5137467                   5460110                            5460110                     5126222                            5140427                     5116320                           5116622                    5116310                           5116933                    5418108                           5418128                    5225988                         5225988                  5133667                          5134910                   5164002                            5164002                     5136825                            5138008                     
Largest contig               303330                            965933                     238341                            269229                     375149                            375149                     101254                          101254                   474277                           474277                    628906                             628906                      191465                             622957                      245660                            245660                     40668                             40668                      104386                            104386                     59847                           59847                    286460                           286460                    498363                             498363                      226629                             226629                      
Reference length             5090491                           5090491                    5090491                           5090491                    5090491                           5090491                    5090491                         5090491                  5090491                          5090491                   5090491                            5090491                     5090491                            5090491                     5090491                           5090491                    5090491                           5090491                    5090491                           5090491                    5090491                         5090491                  5090491                          5090491                   5090491                            5090491                     5090491                            5090491                     
GC (%)                       64.10                             64.10                      64.10                             64.10                      64.13                             64.13                      64.11                           64.11                    64.09                            64.09                     64.06                              64.06                       64.11                              64.11                       64.10                             64.10                      64.08                             64.08                      64.10                             64.10                      64.10                           64.10                    64.09                            64.09                     64.00                              64.00                       64.07                              64.07                       
Reference GC (%)             64.15                             64.15                      64.15                             64.15                      64.15                             64.15                      64.15                           64.15                    64.15                            64.15                     64.15                              64.15                       64.15                              64.15                       64.15                             64.15                      64.15                             64.15                      64.15                             64.15                      64.15                           64.15                    64.15                            64.15                     64.15                              64.15                       64.15                              64.15                       
