All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     212_RS-H-Abyss-Contig    212_RS-H-Cabog-Contig    212_RS-H-Mira-Contig    212_RS-H-Msrca-Contig    212_RS-H-Sga-Contig    212_RS-H-Soap-Contig    212_RS-H-Spades-Contig    212_RS-H-Velvet-Contig    214_RS-M-Abyss-Contig    214_RS-M-Cabog-Contig    214_RS-M-Mira-Contig    214_RS-M-Msrca-Contig    214_RS-M-Sga-Contig    214_RS-M-Soap-Contig    214_RS-M-Spades-Contig    214_RS-M-Velvet-Contig
# contigs (>= 0 bp)          1557                     539                      1581                    130                      12186                  7436                    350                       798                       846                      148                      885                     63                       1032                   441                     275                       655                       
# contigs (>= 1000 bp)       464                      531                      446                     89                       511                    613                     134                       513                       339                      145                      528                     53                       726                    302                     100                       307                       
Total length (>= 0 bp)       4633465                  4216057                  4725855                 4489204                  5704978                5220141                 4670077                   4525236                   4567617                  3952878                  4662776                 4247935                  4621116                4554476                 4618855                   4537774                   
Total length (>= 1000 bp)    4501467                  4212622                  4355336                 4468382                  4164683                4360313                 4607692                   4422515                   4474301                  3952023                  4462783                 4242597                  4486986                4489150                 4584948                   4467985                   
# contigs                    520                      534                      640                     106                      577                    720                     163                       586                       382                      146                      731                     58                       830                    354                     105                       332                       
Total length                 4542138                  4214745                  4494266                 4479673                  4211737                4440636                 4628908                   4475470                   4503182                  3952525                  4609809                 4246144                  4563433                4527360                 4588344                   4485514                   
Largest contig               66408                    41321                    110511                  358962                   75323                  45522                   291333                    59062                     71578                    127844                   67456                   241348                   44874                  115051                  286217                    71713                     
Reference length             4602977                  4602977                  4602977                 4602977                  4602977                4602977                 4602977                   4602977                   4602977                  4602977                  4602977                 4602977                  4602977                4602977                 4602977                   4602977                   
GC (%)                       68.72                    68.94                    68.89                   68.87                    68.70                  68.88                   68.83                     68.76                     68.77                    69.06                    68.75                   68.90                    68.79                  68.83                   68.81                     68.77                     
Reference GC (%)             68.79                    68.79                    68.79                   68.79                    68.79                  68.79                   68.79                     68.79                     68.79                    68.79                    68.79                   68.79                    68.79                  68.79                   68.79                     68.79                     
N50                          13523                    12421                    18568                   176783                   12872                  11128                   74486                     13807                     22050                    41794                    15792                   142742                   9224                   33829                   118093                    24347                     
NG50                         13319                    11358                    17743                   176783                   12057                  10600                   83463                     13087                     21441                    31540                    15792                   130714                   9108                   33491                   118093                    24248                     
N75                          8662                     7179                     9191                    102004                   6960                   5955                    47310                     7500                      11736                    22363                    8236                    102371                   4941                   16889                   53389                     14804                     
NG75                         8354                     5447                     8354                    69776                    5330                   5310                    47313                     6852                      11021                    15957                    8326                    64787                    4854                   15849                   53389                     13982                     
L50                          98                       111                      69                      10                       96                     121                     19                        98                        67                       30                       90                      12                       150                    44                      15                        58                        
LG50                         101                      127                      72                      10                       111                    128                     18                        103                       70                       39                       90                      13                       152                    45                      15                        60                        
L75                          205                      222                      154                     18                       204                    259                     38                        207                       137                      64                       191                     21                       321                    88                      30                        115                       
LG75                         211                      269                      163                     20                       252                    281                     37                        220                       144                      89                       190                     24                       327                    91                      30                        121                       
# misassemblies              8                        4                        9                       4                        1                      3                       8                         3                         2                        6                        20                      5                        3                      1                       9                         3                         
Misassembled contigs length  82256                    37614                    53750                   35324                    8334                   13073                   185752                    23057                     24651                    119353                   162528                  41134                    10550                  3702                    216655                    92376                     
# local misassemblies        1                        3                        4                       4                        1                      9                       4                         4                         2                        2                        6                       4                        1                      10                      4                         8                         
# unaligned contigs          1 + 1 part               0 + 10 part              0 + 4 part              0 + 1 part               0 + 2 part             1 + 10 part             0 + 0 part                0 + 4 part                0 + 2 part               0 + 1 part               0 + 2 part              0 + 1 part               0 + 1 part             0 + 1 part              0 + 0 part                1 + 0 part                
Unaligned contigs length     661                      360                      758                     29                       83                     1113                    0                         179                       96                       78                       43                      23                       11                     383                     0                         688                       
Genome fraction (%)          97.818                   90.818                   97.109                  97.028                   91.376                 96.251                  99.272                    97.182                    97.762                   85.599                   98.849                  91.960                   98.390                 97.983                  99.418                    97.422                    
Duplication ratio            1.010                    1.013                    1.006                   1.004                    1.001                  1.003                   1.018                     1.001                     1.003                    1.009                    1.019                   1.004                    1.008                  1.008                   1.004                     1.000                     
# N's per 100 kbp            0.18                     0.00                     5.36                    0.00                     0.00                   0.00                    14.93                     0.00                      0.00                     5.31                     2.58                    0.00                     0.00                   0.00                    10.16                     0.00                      
