All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes        Largest alignment
AH-H-Abyss-Contig     174                  52                      4985428                 4967717                    54         4969260       654090          4744448           61.53   61.55             237457  237457  121603  122207  7    7     15   14    0                0                            0                      12 + 34 part         4234083                   15.010               1.032              1.83               2686.51                   112.68                607 + 66 part  52419            
AH-H-Cabog-Contig     113                  81                      5009370                 4994206                    94         5004541       710684          4744448           61.60   61.55             278382  278382  133236  156215  6    6     12   11    2                28456                        1                      40 + 32 part         4265289                   14.751               1.056              0.00               3837.64                   141.51                598 + 73 part  52397            
AH-H-Mira-Contig      1314                 58                      5269026                 4921055                    118        4958807       290325          4744448           61.57   61.55             244066  246249  137773  140806  10   9     16   15    1                19737                        3                      72 + 36 part         4226670                   15.145               1.021              4.21               3566.60                   156.57                633 + 64 part  52419            
AH-H-Msrca-Contig     32                   25                      4915618                 4912397                    28         4914380       1124684         4744448           61.61   61.55             828647  828647  235264  245339  3    3     7    6     2                3104                         0                      2 + 21 part          4256366                   13.728               1.010              0.00               3634.39                   140.76                565 + 66 part  52419            
AH-H-Sga-Contig       2186                 132                     5123704                 4862122                    144        4869935       199964          4744448           61.62   61.55             67129   68839   38026   40005   25   24    50   47    3                131784                       9                      68 + 61 part         4059484                   15.852               1.078              0.00               4131.45                   166.19                623 + 77 part  52419            
AH-H-Soap-Contig      216                  36                      4915552                 4885465                    41         4888841       455879          4744448           61.61   61.55             243851  243851  136903  165019  8    8     15   14    0                0                            0                      6 + 28 part          4182196                   14.870               1.002              0.00               3967.49                   140.82                603 + 67 part  52419            
AH-H-Spades-Contig    339                  38                      5011698                 4923079                    47         4929385       592124          4744448           61.54   61.55             379681  379681  129901  137987  5    5     12   11    1                579                          0                      13 + 26 part         4192431                   15.166               1.024              1.28               3611.13                   134.68                617 + 62 part  52419            
AH-H-Velvet-Contig    103                  51                      4895627                 4884654                    53         4886581       526254          4744448           61.61   61.55             180361  184389  93861   104748  9    8     18   17    0                0                            0                      10 + 39 part         4183402                   14.808               1.001              0.00               3648.52                   120.10                606 + 61 part  52419            
AH-H-Abyss-Scaffold   158                  43                      4984065                 4968254                    45         4969781       654090          4744448           61.53   61.55             268392  268392  137136  137898  6    6     13   12    1                2772                         0                      9 + 28 part          4240350                   14.876               1.033              9.88               2698.92                   117.12                603 + 65 part  52419            
AH-H-Cabog-Scaffold   37                   37                      5010956                 5010956                    37         5010956       712801          4744448           61.60   61.55             278382  278382  189722  207147  6    6     11   10    2                28456                        1                      10 + 25 part         4308234                   14.450               1.025              31.65              4041.34                   201.68                592 + 67 part  52397            
AH-H-Msrca-Scaffold   30                   23                      4915658                 4912437                    26         4914420       1124684         4744448           61.61   61.55             862315  862315  245339  245339  3    3     6    6     2                3104                         0                      1 + 20 part          4256409                   13.730               1.010              0.81               3634.39                   140.76                566 + 66 part  52419            
AH-H-Sga-Scaffold     189                  131                     4878115                 4859624                    138        4864352       199964          4744448           61.63   61.55             67129   68839   39052   40005   25   24    49   47    3                131784                       9                      65 + 61 part         4055731                   15.814               1.078              0.00               4147.71                   166.92                623 + 75 part  52419            
AH-H-Soap-Scaffold    206                  28                      4915562                 4886477                    32         4889068       656756          4744448           61.61   61.55             334435  334435  230185  230185  5    5     9    9     0                0                            1                      6 + 19 part          4194663                   14.613               1.002              0.20               3651.42                   126.16                598 + 64 part  52419            
AH-H-Spades-Scaffold  331                  31                      5011158                 4922634                    40         4928940       703652          4744448           61.54   61.55             379681  491198  230049  237931  5    4     9    8     1                579                          0                      11 + 21 part         4195839                   15.085               1.024              1.28               2956.05                   111.67                613 + 62 part  52419            
AH-H-Velvet-Scaffold  78                   28                      4896755                 4886186                    30         4888113       803895          4744448           61.61   61.55             301388  335956  229873  229873  5    4     9    9     0                0                            0                      6 + 20 part          4200746                   14.477               1.001              23.08              3612.72                   113.49                592 + 57 part  52419            
