Assembly	AH-H-Abyss-Contig	AH-H-Msrca-Contig
# contigs (>= 0 bp)	174	32
# contigs (>= 1000 bp)	52	25
Total length (>= 0 bp)	4985428	4915618
Total length (>= 1000 bp)	4967717	4912397
# contigs	54	28
Total length	4969260	4914380
Largest contig	654090	1124684
Reference length	4744448	4744448
GC (%)	61.53	61.61
Reference GC (%)	61.55	61.55
N50	237457	828647
NG50	237457	828647
N75	121603	235264
NG75	122207	245339
L50	7	3
LG50	7	3
L75	15	7
LG75	14	6
# misassemblies	0	2
Misassembled contigs length	0	3104
# local misassemblies	0	0
# unaligned contigs	12 + 34 part	2 + 21 part
Unaligned contigs length	4234083	4256366
Genome fraction (%)	15.010	13.728
Duplication ratio	1.032	1.010
# N's per 100 kbp	1.83	0.00
# mismatches per 100 kbp	2686.51	3634.39
# indels per 100 kbp	112.68	140.76
# genes	607 + 66 part	565 + 66 part
Largest alignment	52419	52419
