Assembly	GAGE-B_abyss_hiseq_ctg	GAGE-B_abyss_hiseq_scf
# contigs (>= 0 bp)	338	249
# contigs (>= 1000 bp)	121	87
Total length (>= 0 bp)	4115424	4126440
Total length (>= 1000 bp)	4065299	4099616
# contigs	153	102
Total length	4086478	4109111
Largest contig	280277	523887
Reference length	4033464	4033464
GC (%)	47.57	47.57
Reference GC (%)	47.49	47.49
N50	94508	217596
NG50	94508	217596
N75	58395	80568
NG75	59821	82716
L50	13	6
LG50	13	6
L75	27	15
LG75	26	14
# misassemblies	6	16
Misassembled contigs length	376802	924513
# local misassemblies	17	68
# unaligned contigs	1 + 0 part	1 + 0 part
Unaligned contigs length	602	602
Genome fraction (%)	97.712	98.010
Duplication ratio	1.052	1.055
# N's per 100 kbp	100.94	424.33
# mismatches per 100 kbp	5.28	7.34
# indels per 100 kbp	5.71	6.68
# genes	3498 + 59 part	3515 + 54 part
Largest alignment	246076	522201
NA50	92996	156774
NGA50	92996	156774
NA75	58395	67355
NGA75	58395	71310
LA50	14	7
LGA50	14	7
LA75	28	18
LGA75	28	17
