All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      GAGE-B_abyss_hiseq_ctg
# misassemblies               6                     
    # relocations             5                     
    # translocations          1                     
    # inversions              0                     
# misassembled contigs        5                     
Misassembled contigs length   376802                
# local misassemblies         17                    
# mismatches                  208                   
# indels                      225                   
    # short indels (<= 5 bp)  189                   
    # long indels (> 5 bp)    36                    
Indels length                 703                   
