All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GAGE-B_abyss_hiseq_ctg  GAGE-B_abyss_hiseq_scf  abyss_1.3.4      abyss_1.3.6    
# contigs (>= 0 bp)          338                     249                     1115             1115           
# contigs (>= 1000 bp)       121                     87                      247              247            
Total length (>= 0 bp)       4115424                 4126440                 3980506          3980506        
Total length (>= 1000 bp)    4065299                 4099616                 3855718          3855718        
# contigs                    153                     102                     306              306            
Total length                 4086478                 4109111                 3895189          3895189        
Largest contig               280277                  523887                  145939           145939         
Reference length             4033464                 4033464                 4033464          4033464        
GC (%)                       47.57                   47.57                   47.52            47.52          
Reference GC (%)             47.49                   47.49                   47.49            47.49          
N50                          94508                   217596                  25689            25689          
NG50                         94508                   217596                  25448            25448          
N75                          58395                   80568                   15919            15919          
NG75                         59821                   82716                   14801            14801          
L50                          13                      6                       44               44             
LG50                         13                      6                       47               47             
L75                          27                      15                      93               93             
LG75                         26                      14                      100              100            
# misassemblies              6                       16                      2                2              
Misassembled contigs length  376802                  924513                  9653             9653           
# local misassemblies        17                      68                      0                0              
# unaligned contigs          1 + 0 part              1 + 0 part              1 + 0 part       1 + 0 part     
Unaligned contigs length     602                     602                     602              602            
Genome fraction (%)          97.712                  98.010                  96.495           96.495         
Duplication ratio            1.052                   1.055                   1.001            1.001          
# N's per 100 kbp            100.94                  424.33                  0.00             0.00           
# mismatches per 100 kbp     5.28                    7.34                    3.03             3.03           
# indels per 100 kbp         5.71                    6.68                    2.83             2.83           
# genes                      3498 + 59 part          3515 + 54 part          3322 + 133 part  3322 + 133 part
Largest alignment            246076                  522201                  145939           145939         
NA50                         92996                   156774                  25689            25689          
NGA50                        92996                   156774                  25448            25448          
NA75                         58395                   67355                   15919            15919          
NGA75                        58395                   71310                   14801            14801          
LA50                         14                      7                       44               44             
LGA50                        14                      7                       47               47             
LA75                         28                      18                      93               93             
LGA75                        28                      17                      100              100            
