Assembly	GAGE-B broken	GAGE-B	cabog_7.0 broken	cabog_7.0	cabog_8.1 broken	cabog_8.1
# misassemblies	17	17	7	7	8	9
    # relocations	11	11	5	5	7	7
    # translocations	6	6	2	2	1	2
    # inversions	0	0	0	0	0	0
# misassembled contigs	17	17	7	7	7	8
Misassembled contigs length	128064	128064	15751	15751	30914	46637
# local misassemblies	7	7	1	1	6	6
# mismatches	321	321	112	112	263	265
# indels	142	142	53	53	140	140
    # short indels (<= 5 bp)	136	136	51	51	138	138
    # long indels (> 5 bp)	6	6	2	2	2	2
Indels length	188	188	84	84	158	158
