Assembly	GAGE-B	k89	k99
# contigs (>= 200 bp)	105	137	330
# contigs (>= 1000 bp)	80	108	273
Total length (>= 200 bp)	3994617	3994843	3876806
Total length (>= 1000 bp)	3980159	3977918	3839316
# contigs	91	121	314
Total length	3989162	3988448	3870114
Largest contig	555664	356964	117961
Reference length	4033464	4033464	4033464
GC (%)	47.50	47.51	47.52
Reference GC (%)	47.49	47.49	47.49
N50	241604	108823	35282
NG50	241604	90882	30565
N75	85155	57567	13936
NG75	79323	57567	11602
L50	6	9	32
LG50	6	10	35
L75	13	23	79
LG75	14	23	89
# misassemblies	8	8	11
Misassembled contigs length	708761	422752	52197
# local misassemblies	5	4	5
# unaligned contigs	0 + 2 part	0 + 2 part	0 + 2 part
Unaligned contigs length	399	399	104
Genome fraction (%)	98.147	98.121	95.714
Duplication ratio	1.013	1.008	1.003
# N's per 100 kbp	0.00	0.00	0.00
# mismatches per 100 kbp	68.61	68.93	9.51
# indels per 100 kbp	6.90	6.62	4.14
# genes	3573 + 46 part	3552 + 65 part	3289 + 246 part
Largest alignment	555664	356958	117961
NA50	236373	90882	35282
NGA50	236373	90882	30565
NA75	76901	48002	13936
NGA75	76901	47549	11424
LA50	6	10	32
LGA50	6	10	35
LA75	15	24	79
LGA75	15	25	89
