Assembly	GAGE-B broken	GAGE-B	SOAPdenovo2 broken	SOAPdenovo2	SOAPdenovo2_GP broken	SOAPdenovo2_GP
# misassemblies	15	15	3	8	6	6
    # relocations	13	13	3	8	6	6
    # translocations	2	2	0	0	0	0
    # inversions	0	0	0	0	0	0
# misassembled contigs	13	13	3	7	6	6
Misassembled contigs length	1155029	1605854	19717	505899	181473	247170
# local misassemblies	50	76	17	383	102	111
# mismatches	550	550	292	319	313	313
# indels	219	219	113	117	159	160
    # short indels (<= 5 bp)	207	207	112	116	154	154
    # long indels (> 5 bp)	12	12	1	1	5	6
Indels length	335	335	126	131	211	270
