All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GAGE-B broken   GAGE-B          SOAPdenovo2 broken  SOAPdenovo2      SOAPdenovo2_GP broken  SOAPdenovo2_GP 
# contigs (>= 500 bp)        100             75              338                 78               171                    166            
# contigs (>= 1000 bp)       81              58              280                 58               136                    137            
Total length (>= 500 bp)     3932751         3935433         3891092             3967072          3934552                3936790        
Total length (>= 1000 bp)    3919085         3923264         3850636             3952597          3907882                3914739        
# contigs                    100             75              338                 78               171                    166            
Total length                 3932751         3935433         3891092             3967072          3934552                3936790        
Largest contig               425556          574497          69634               577829           246328                 246328         
Reference length             4033464         4033464         4033464             4033464          4033464                4033464        
GC (%)                       47.52           47.52           47.52               47.51            47.54                  47.54          
Reference GC (%)             47.49           47.49           47.49               47.49            47.49                  47.49          
N50                          135118          200529          23972               202254           92055                  92055          
NG50                         125939          181109          22807               202254           89883                  92055          
N75                          65780           102918          13646               104018           38797                  39821          
NG75                         62739           102918          12268               104018           36592                  38797          
L50                          10              6               53                  6                14                     14             
LG50                         11              7               56                  6                15                     14             
L75                          21              13              107                 13               33                     32             
LG75                         22              13              115                 13               35                     33             
# misassemblies              15              15              3                   8                6                      6              
Misassembled contigs length  1155029         1605854         19717               505899           181473                 247170         
# local misassemblies        50              76              17                  383              102                    111            
# unaligned contigs          1 + 1 part      1 + 1 part      1 + 0 part          1 + 3 part       2 + 0 part             2 + 0 part     
Unaligned contigs length     603             603             551                 1307             5991                   5991           
Genome fraction (%)          97.295          97.305          96.389              97.200           97.036                 97.068         
Duplication ratio            1.009           1.009           1.001               1.012            1.005                  1.005          
# N's per 100 kbp            0.00            56.11           0.05                1287.95          2.49                   19.74          
# mismatches per 100 kbp     14.02           14.01           7.51                8.16             8.00                   7.99           
# indels per 100 kbp         5.58            5.58            2.91                2.99             4.06                   4.09           
# genes                      3479 + 50 part  3480 + 50 part  3267 + 207 part     3299 + 215 part  3430 + 99 part         3432 + 100 part
Largest alignment            425699          574463          69634               573310           246327                 246327         
NA50                         112904          181115          23972               180945           86917                  92054          
NGA50                        112904          181115          22807               180945           86917                  89882          
NA75                         62739           92025           13646               92058            38796                  39451          
NGA75                        62256           92025           12268               92058            36592                  38550          
LA50                         11              7               53                  7                15                     14             
LGA50                        11              7               56                  7                15                     15             
LA75                         22              14              107                 14               33                     32             
LGA75                        23              14              115                 14               35                     34             
