Assembly	GAGE-B-Hiseq broken	GAGE-B-Hiseq	Velvet_1208-Hiseq broken	Velvet_1208-Hiseq	GAGE-B-Miseq broken	GAGE-B-Miseq	Velvet_1208-Miseq broken	Velvet_1208-Miseq
# misassemblies	4	10	8	10	14	22	5	6
    # relocations	4	8	8	9	12	20	5	6
    # translocations	0	2	0	1	2	2	0	0
    # inversions	0	0	0	0	0	0	0	0
# misassembled contigs	4	8	8	9	14	17	5	6
Misassembled contigs length	55189	395034	69468	273985	749414	1210318	28731	45660
# local misassemblies	8	129	6	123	2	13	3	6
# mismatches	175	203	221	225	161	156	155	168
# indels	190	370	131	205	110	192	102	103
    # short indels (<= 5 bp)	181	346	126	196	104	183	98	98
    # long indels (> 5 bp)	9	24	5	9	6	9	4	5
Indels length	262	708	173	374	168	352	137	145
