Assembly	1_GAGE-B-Hiseq	1_Velvet_1208-Hiseq	1_GAGE-B-Miseq	1_Velvet_1208-Miseq	2_GAGE-B-Hiseq	2_Velvet_1208-Hiseq	2_GAGE-B-Miseq	2_Velvet_1208-Miseq
# contigs (>= 200 bp)	261	246	201	179	-	-	-	-
# contigs (>= 500 bp)	-	-	-	-	85	104	138	133
# contigs (>= 1000 bp)	183	177	124	108	65	79	113	108
Total length (>= 200 bp)	3931494	3903763	3958933	3905232	-	-	-	-
Total length (>= 500 bp)	-	-	-	-	3940257	3903678	3945576	3892321
Total length (>= 1000 bp)	3894214	3870711	3921645	3872950	3927326	3886781	3928680	3875057
# contigs	213	205	156	135	85	104	138	133
Total length	3914915	3889783	3944260	3891789	3940257	3903678	3945576	3892321
Largest contig	157783	157831	246346	246346	524347	411927	246346	246346
Reference length	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.50	47.64	47.52	47.69	47.50	47.63	47.51	47.69
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49
N50	40877	46346	92036	105176	172545	163386	109996	105176
NG50	40085	41373	92036	105176	172545	157209	109996	105176
N75	22754	22927	43442	43442	92099	75755	47047	43442
NG75	20673	20721	39974	39408	82167	71623	46531	39408
L50	30	28	15	12	7	8	11	12
LG50	31	30	15	12	7	9	11	12
L75	62	59	31	26	14	18	25	26
LG75	66	63	33	28	15	19	26	28
# misassemblies	4	9	14	5	10	10	22	6
Misassembled contigs length	55189	127292	749414	28731	395034	273985	1210318	45660
# local misassemblies	8	9	2	3	129	123	13	6
# unaligned contigs	1 + 1 part	1 + 0 part	1 + 5 part	1 + 2 part	1 + 0 part	1 + 0 part	1 + 3 part	1 + 2 part
Unaligned contigs length	576	549	6703	6297	549	549	6324	6297
Genome fraction (%)	97.038	96.340	97.563	96.234	97.140	96.251	97.598	96.242
Duplication ratio	1.011	1.012	1.007	1.007	1.016	1.016	1.007	1.007
# N's per 100 kbp	0.00	0.00	0.00	0.00	547.10	515.80	5.58	1.28
# mismatches per 100 kbp	4.47	5.89	4.09	4.23	5.18	5.80	3.96	4.33
# indels per 100 kbp	4.85	3.14	2.80	2.63	9.44	5.28	4.88	2.65
# genes	3386 + 132 part	3392 + 121 part	3491 + 79 part	3460 + 70 part	3400 + 128 part	3379 + 130 part	3492 + 78 part	3459 + 71 part
Largest alignment	157783	157831	246346	246346	521619	409820	246346	246346
NA50	40877	42805	67096	105176	171505	163055	75901	105176
NGA50	39468	41373	63574	105176	171505	156829	67096	105176
NA75	22753	22638	40333	43442	91938	71376	43122	43442
NGA75	20673	19470	39408	39408	80883	59664	40333	39408
LA50	30	28	16	12	7	8	13	12
LGA50	31	30	17	12	7	9	14	12
LA75	62	59	35	26	14	18	32	26
LGA75	66	64	37	28	15	20	33	28
