Assembly	GAGE-B	Msrca_183_k89	Msrca_183_k99	Msrca_210_k89	Msrca_210_k99
# misassemblies	19	20	19	13	11
    # relocations	14	11	14	9	9
    # translocations	5	9	5	4	2
    # inversions	0	0	0	0	0
# misassembled contigs	19	19	19	12	11
Misassembled contigs length	216881	244726	216881	96509	151551
# local misassemblies	3	5	3	5	6
# mismatches	247	246	247	195	196
# indels	125	133	125	119	131
    # short indels (<= 5 bp)	120	129	120	113	126
    # long indels (> 5 bp)	5	4	5	6	5
Indels length	167	168	167	165	169
