All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GAGE-B          Msrca_183_k89   Msrca_183_k99    Msrca_210_k89   Msrca_210_k99 
# contigs (>= 500 bp)        88              88              245              118             167           
# contigs (>= 1000 bp)       77              77              215              99              143           
Total length (>= 500 bp)     3989222         3990088         3875030          4008981         3969261       
Total length (>= 1000 bp)    3980219         3981085         3852394          3994223         3951885       
# contigs                    88              88              245              118             167           
Total length                 3989222         3990088         3875030          4008981         3969261       
Largest contig               555664          555775          199706           555891          232643        
Reference length             4033464         4033464         4033464          4033464         4033464       
GC (%)                       47.50           47.50           47.51            47.51           47.44         
Reference GC (%)             47.49           47.49           47.49            47.49           47.49         
N50                          246505          246836          46624            133199          65767         
NG50                         246505          246836          46196            133199          65767         
N75                          85155           85155           19711            77491           43921         
NG75                         79323           79351           16912            77491           42523         
L50                          6               6               23               8               18            
LG50                         6               6               24               8               18            
L75                          13              13              53               18              37            
LG75                         14              14              59               18              38            
# misassemblies              9               10              12               13              11            
Misassembled contigs length  716209          788570          194566           610408          151551        
# local misassemblies        7               15              31               20              6             
# unaligned contigs          0 + 2 part      0 + 2 part      0 + 1 part       0 + 4 part      0 + 1 part    
Unaligned contigs length     399             399             72               475             453           
Genome fraction (%)          98.147          98.152          95.804           98.498          96.353        
Duplication ratio            1.013           1.013           1.009            1.010           1.027         
# N's per 100 kbp            1.50            17.54           40.26            23.45           1.01          
# mismatches per 100 kbp     68.63           68.83           9.78             50.95           5.04          
# indels per 100 kbp         6.85            12.07           13.69            16.71           3.37          
# genes                      3573 + 46 part  3568 + 51 part  3314 + 226 part  3557 + 71 part  3480 + 60 part
Largest alignment            555664          555729          199686           555891          232643        
NA50                         236373          236430          46604            132265          65252         
NGA50                        236373          236430          46176            132265          63260         
NA75                         76901           76901           19307            71696           43921         
NGA75                        76901           76901           16019            70982           42523         
LA50                         6               6               23               9               18            
LGA50                        6               6               24               9               19            
LA75                         15              15              54               19              37            
LGA75                        15              15              61               20              38            
