Assembly	miseq	hiseq
# contigs (>= 200 bp)	1726	485
# contigs (>= 1000 bp)	247	285
Total length (>= 200 bp)	4327390	3932738
Total length (>= 1000 bp)	3875237	3844703
# contigs	326	351
Total length	3931012	3890290
Largest contig	105420	108154
Reference length	4033464	4033464
GC (%)	47.53	47.54
Reference GC (%)	47.49	47.49
N50	27573	23808
NG50	27303	23429
N75	15449	12382
NG75	14804	10978
L50	45	49
LG50	47	52
L75	94	103
LG75	99	113
# misassemblies	2	3
Misassembled contigs length	18041	17831
# local misassemblies	0	0
# unaligned contigs	1 + 2 part	1 + 0 part
Unaligned contigs length	6359	551
Genome fraction (%)	96.574	96.276
Duplication ratio	1.008	1.002
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	2.88	3.17
# indels per 100 kbp	2.75	2.60
# genes	3355 + 134 part	3296 + 166 part
Largest alignment	105420	108154
NA50	27573	23808
NGA50	27303	23429
NA75	15449	12382
NGA75	14804	10978
LA50	45	49
LGA50	47	52
LA75	94	103
LGA75	99	113
