All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      miseq  hiseq
# misassemblies               2      3    
    # relocations             2      2    
    # translocations          0      1    
    # inversions              0      0    
# misassembled contigs        2      3    
Misassembled contigs length   18041  17831
# local misassemblies         1      0    
# mismatches                  109    115  
# indels                      106    101  
    # short indels (<= 5 bp)  105    100  
    # long indels (> 5 bp)    1      1    
Indels length                 115    114  
