Assembly	hiseq
# contigs (>= 500 bp)	331
# contigs (>= 1000 bp)	274
Total length (>= 500 bp)	3861930
Total length (>= 1000 bp)	3822893
# contigs	331
Total length	3861930
Largest contig	108154
Reference length	4033464
GC (%)	47.55
Reference GC (%)	47.49
N50	24152
NG50	23429
N75	12815
NG75	10978
L50	48
LG50	52
L75	102
LG75	113
# misassemblies	3
Misassembled contigs length	17831
# local misassemblies	0
# unaligned contigs	1 + 0 part
Unaligned contigs length	551
Genome fraction (%)	95.589
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2.98
# indels per 100 kbp	2.62
# genes	3272 + 159 part
Largest alignment	108154
NA50	24152
NGA50	23429
NA75	12813
NGA75	10978
LA50	48
LGA50	52
LA75	102
LGA75	113
