Assembly	CABOG_miseq_scf broken	CABOG_miseq_scf	CABOG_hiseq_scf broken	CABOG_hiseq_scf	MaSuRCA_miseq_scf broken	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf broken	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf broken	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf broken	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf broken	SPAdes_miseq_scf	SPAdes_hiseq_scf broken	SPAdes_hiseq_scf	Velvet_miseq_scf broken	Velvet_miseq_scf	Velvet_hiseq_scf broken	Velvet_hiseq_scf
# misassemblies	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # relocations	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # translocations	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # inversions	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Misassembled contigs length	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# local misassemblies	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# mismatches	-	-	3	3	3	3	3	3	2	2	2	5	3	3	3	3	3	3	3	3
# indels	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # short indels (<= 5 bp)	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # long indels (> 5 bp)	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indels length	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
