Assembly	CABOG_miseq_ctg	CABOG_hiseq_ctg	MIRA_miseq_ctg	MIRA_hiseq_ctg	MaSuRCA_miseq_ctg	MaSuRCA_hiseq_ctg	SOAPdenovo_miseq_ctg	SOAPdenovo_hiseq_ctg	SPAdes_miseq_ctg	SPAdes_hiseq_ctg	Velvet_miseq_ctg	Velvet_hiseq_ctg	CABOG_miseq_scf	CABOG_hiseq_scf	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf	SPAdes_hiseq_scf	Velvet_miseq_scf	Velvet_hiseq_scf
# contigs (>= 200 bp)	188	144	224	1524	173	137	439	462	1480	158	179	246	188	94	173	102	212	114	1479	137	173	142
# contigs (>= 1000 bp)	188	142	131	946	142	108	237	294	76	83	108	177	188	94	142	77	138	58	75	72	108	79
Total length (>= 200 bp)	318746	3849141	4008924	3956352	4034988	3994843	3930265	3931705	4450408	4000021	3905232	3903763	318746	3850141	4034988	3995543	3971575	3978826	4455833	4222123	3904657	3916708
Total length (>= 1000 bp)	318746	3848582	3964673	3646461	4014349	3977918	3829930	3851746	3991331	3957821	3872950	3870711	318746	3850141	4014349	3981085	3934276	3952597	3996618	4186225	3875057	3886781
# contigs	188	142	162	1234	163	121	327	364	148	126	135	205	188	94	163	88	166	78	147	109	133	104
Total length	318746	3848582	3986805	3858629	4030761	3988448	3892100	3899782	4036787	3987612	3891789	3889783	318746	3850141	4030761	3990088	3955352	3967072	4042074	4211504	3892321	3903678
Largest contig	5646	224340	383237	22077	255146	356964	98351	69685	741022	369300	246346	157831	5646	355677	255146	555775	247379	577829	741022	572859	246346	411927
Reference length	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	41.54	47.54	47.50	47.73	47.47	47.51	47.59	47.53	47.37	47.51	47.69	47.64	41.54	47.54	47.47	47.50	47.55	47.51	47.37	47.47	47.69	47.63
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49
N50	1707	57089	108646	4840	76131	108823	29551	21660	262160	137662	105176	46346	1707	134075	76131	246836	92267	202254	262160	225904	105176	163386
NG50	-	55585	108646	4642	76131	90882	28424	20717	262160	137662	105176	41373	-	102138	76131	246836	92267	202254	262160	225904	105176	157209
N75	1367	30707	43347	2597	45736	57567	17092	12597	136216	95826	43442	22927	1367	52902	45736	85155	39820	104018	136216	169794	43442	75755
NG75	-	25091	42311	2373	45736	57567	16323	11591	136216	95826	39408	20721	-	45596	45736	79351	39033	104018	136216	171917	39408	71623
L50	69	20	11	237	16	9	39	57	5	9	12	28	69	10	16	6	14	6	5	6	12	8
LG50	-	22	11	255	16	10	41	60	5	9	12	30	-	11	16	6	14	6	5	6	12	9
L75	121	43	25	502	33	23	83	115	11	17	26	59	121	24	33	13	32	13	11	12	26	18
LG75	-	49	26	555	33	23	90	123	11	17	28	63	-	27	33	14	33	13	11	11	28	19
# misassemblies	7	10	23	45	19	8	2	2	5	4	5	9	7	11	19	10	6	8	5	7	6	10
Misassembled contigs length	15751	94087	357376	125492	216881	422752	6284	9685	385887	463075	28731	127292	15751	183425	216881	788570	231931	505899	385887	620123	45660	273985
# local misassemblies	1	7	4	10	3	4	0	0	4	9	3	9	1	13	3	15	274	383	4	11	6	123
# unaligned contigs	0 + 97 part	0 + 0 part	1 + 4 part	0 + 7 part	0 + 3 part	0 + 2 part	2 + 0 part	1 + 0 part	57 + 3 part	3 + 0 part	1 + 2 part	1 + 0 part	0 + 97 part	0 + 0 part	0 + 3 part	0 + 2 part	2 + 4 part	1 + 3 part	57 + 3 part	3 + 0 part	1 + 2 part	1 + 0 part
