Assembly	CABOG_miseq_ctg	CABOG_hiseq_ctg	MIRA_miseq_ctg	MIRA_hiseq_ctg	MaSuRCA_miseq_ctg	MaSuRCA_hiseq_ctg	SOAPdenovo_miseq_ctg	SOAPdenovo_hiseq_ctg	SPAdes_miseq_ctg	SPAdes_hiseq_ctg	Velvet_miseq_ctg	Velvet_hiseq_ctg
# contigs (>= 200 bp)	188	144	224	1524	173	137	439	462	1480	158	179	246
# contigs (>= 1000 bp)	188	142	131	946	142	108	237	294	76	83	108	177
Total length (>= 200 bp)	318746	3849141	4008924	3956352	4034988	3994843	3930265	3931705	4450408	4000021	3905232	3903763
Total length (>= 1000 bp)	318746	3848582	3964673	3646461	4014349	3977918	3829930	3851746	3991331	3957821	3872950	3870711
# contigs	188	142	162	1234	163	121	327	364	148	126	135	205
Total length	318746	3848582	3986805	3858629	4030761	3988448	3892100	3899782	4036787	3987612	3891789	3889783
Largest contig	5646	224340	383237	22077	255146	356964	98351	69685	741022	369300	246346	157831
Reference length	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	41.54	47.54	47.50	47.73	47.47	47.51	47.59	47.53	47.37	47.51	47.69	47.64
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49
N50	1707	57089	108646	4840	76131	108823	29551	21660	262160	137662	105176	46346
NG50	-	55585	108646	4642	76131	90882	28424	20717	262160	137662	105176	41373
N75	1367	30707	43347	2597	45736	57567	17092	12597	136216	95826	43442	22927
NG75	-	25091	42311	2373	45736	57567	16323	11591	136216	95826	39408	20721
L50	69	20	11	237	16	9	39	57	5	9	12	28
LG50	-	22	11	255	16	10	41	60	5	9	12	30
L75	121	43	25	502	33	23	83	115	11	17	26	59
LG75	-	49	26	555	33	23	90	123	11	17	28	63
# misassemblies	7	10	23	45	19	8	2	2	5	4	5	9
Misassembled contigs length	15751	94087	357376	125492	216881	422752	6284	9685	385887	463075	28731	127292
# local misassemblies	1	7	4	10	3	4	0	0	4	9	3	9
# unaligned contigs	0 + 97 part	0 + 0 part	1 + 4 part	0 + 7 part	0 + 3 part	0 + 2 part	2 + 0 part	1 + 0 part	57 + 3 part	3 + 0 part	1 + 2 part	1 + 0 part
Unaligned contigs length	7706	0	11825	615	811	399	5991	551	41368	2685	6297	549
Genome fraction (%)	7.639	95.361	98.078	94.917	97.670	98.121	96.230	96.488	98.752	98.611	96.234	96.340
Duplication ratio	1.011	1.006	1.012	1.009	1.023	1.008	1.001	1.002	1.004	1.007	1.007	1.012
# N's per 100 kbp	0.00	0.00	0.70	23.12	0.00	0.00	0.00	0.00	5.85	8.75	0.00	0.00
# mismatches per 100 kbp	36.35	7.72	5.28	17.37	6.27	68.93	3.01	3.31	4.90	6.64	4.23	5.89
# indels per 100 kbp	17.20	7.41	2.96	4.41	3.17	6.62	2.60	2.85	3.11	3.44	2.63	3.14
# genes	123 + 277 part	3346 + 120 part	3534 + 84 part	2627 + 893 part	3534 + 66 part	3552 + 65 part	3336 + 122 part	3274 + 189 part	3597 + 29 part	3571 + 30 part	3460 + 70 part	3392 + 121 part
Largest alignment	5582	224338	383237	22077	255146	356958	98351	69685	741022	369299	246346	157831
NA50	1624	57089	108646	4812	76131	90882	29551	21657	262160	137656	105176	42805
NGA50	-	55585	108646	4596	76131	90882	28424	20717	262160	137656	105176	41373
NA75	1288	28862	39171	2576	45141	48002	17092	12597	106531	95507	43442	22638
NGA75	-	25091	38713	2336	45141	47549	16323	11588	106531	95507	39408	19470
LA50	72	20	11	241	16	10	39	57	5	10	12	28
LGA50	-	22	11	260	16	10	41	60	5	10	12	30
LA75	128	44	27	509	34	24	83	115	12	18	26	59
LGA75	-	49	28	562	34	25	90	123	12	18	28	64
