All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      CABOG_miseq_scf broken  CABOG_miseq_scf  CABOG_hiseq_scf broken  CABOG_hiseq_scf  MaSuRCA_miseq_scf broken  MaSuRCA_miseq_scf  MaSuRCA_hiseq_scf broken  MaSuRCA_hiseq_scf  SOAPdenovo_miseq_scf broken  SOAPdenovo_miseq_scf  SOAPdenovo_hiseq_scf broken  SOAPdenovo_hiseq_scf  SPAdes_miseq_scf broken  SPAdes_miseq_scf  SPAdes_hiseq_scf broken  SPAdes_hiseq_scf  Velvet_miseq_scf broken  Velvet_miseq_scf  Velvet_hiseq_scf broken  Velvet_hiseq_scf
# misassemblies               7                       7                10                      11               19                        19                 8                         10                 2                            6                     3                            8                     5                        5                 7                        7                 5                        6                 8                        10              
    # relocations             5                       5                8                       9                14                        14                 7                         8                  2                            6                     3                            8                     5                        5                 6                        6                 5                        6                 8                        9               
    # translocations          2                       2                2                       2                5                         5                  1                         2                  0                            0                     0                            0                     0                        0                 1                        1                 0                        0                 0                        1               
    # inversions              0                       0                0                       0                0                         0                  0                         0                  0                            0                     0                            0                     0                        0                 0                        0                 0                        0                 0                        0               
# misassembled contigs        7                       7                10                      11               19                        19                 7                         7                  2                            6                     3                            7                     5                        5                 7                        7                 5                        6                 8                        9               
Misassembled contigs length   15751                   15751            94087                   183425           216881                    216881             422752                    788570             6284                         231931                19717                        505899                385887                   385887            620123                   620123            28731                    45660             69468                    273985          
# local misassemblies         1                       1                7                       13               3                         3                  4                         15                 2                            274                   17                           383                   4                        4                 11                       11                3                        6                 6                        123             
# mismatches                  112                     112              297                     285              247                       247                2727                      2725               150                          154                   292                          319                   194                      195               286                      280               155                      168               221                      225             
# indels                      53                      53               285                     721              125                       125                263                       478                112                          117                   113                          117                   124                      124               148                      148               102                      103               131                      205             
    # short indels (<= 5 bp)  51                      51               280                     693              120                       120                257                       460                109                          114                   112                          116                   118                      118               138                      138               98                       98                126                      196             
    # long indels (> 5 bp)    2                       2                5                       28               5                         5                  6                         18                 3                            3                     1                            1                     6                        6                 10                       10                4                        5                 5                        9               
Indels length                 84                      84               335                     1195             167                       167                326                       828                137                          143                   126                          131                   184                      184               273                      273               137                      145               173                      374             
