Assembly	CABOG_miseq_scf	CABOG_hiseq_scf	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf	SPAdes_hiseq_scf	Velvet_miseq_scf	Velvet_hiseq_scf
# misassemblies	7	11	19	10	6	8	5	7	6	10
    # relocations	5	9	14	8	6	8	5	6	6	9
    # translocations	2	2	5	2	0	0	0	1	0	1
    # inversions	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	7	11	19	7	6	7	5	7	6	9
Misassembled contigs length	15751	183425	216881	788570	231931	505899	385887	620123	45660	273985
# local misassemblies	1	13	3	15	274	383	4	11	6	123
# mismatches	112	285	247	2725	154	319	195	280	168	225
# indels	53	721	125	478	117	117	124	148	103	205
    # short indels (<= 5 bp)	51	693	120	460	114	116	118	138	98	196
    # long indels (> 5 bp)	2	28	5	18	3	1	6	10	5	9
Indels length	84	1195	167	828	143	131	184	273	145	374
