Assembly	CABOG_miseq_scf	CABOG_hiseq_scf	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf	SPAdes_hiseq_scf	Velvet_miseq_scf	Velvet_hiseq_scf
# contigs (>= 500 bp)	188	94	163	88	166	78	147	109	133	104
# contigs (>= 1000 bp)	188	94	142	77	138	58	75	72	108	79
Total length (>= 500 bp)	318746	3850141	4030761	3990088	3955352	3967072	4042074	4211504	3892321	3903678
Total length (>= 1000 bp)	318746	3850141	4014349	3981085	3934276	3952597	3996618	4186225	3875057	3886781
# contigs	188	94	163	88	166	78	147	109	133	104
Total length	318746	3850141	4030761	3990088	3955352	3967072	4042074	4211504	3892321	3903678
Largest contig	5646	355677	255146	555775	247379	577829	741022	572859	246346	411927
Reference length	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	41.54	47.54	47.47	47.50	47.55	47.51	47.37	47.47	47.69	47.63
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49
N50	1707	134075	76131	246836	92267	202254	262160	225904	105176	163386
NG50	-	102138	76131	246836	92267	202254	262160	225904	105176	157209
N75	1367	52902	45736	85155	39820	104018	136216	169794	43442	75755
NG75	-	45596	45736	79351	39033	104018	136216	171917	39408	71623
L50	69	10	16	6	14	6	5	6	12	8
LG50	-	11	16	6	14	6	5	6	12	9
L75	121	24	33	13	32	13	11	12	26	18
LG75	-	27	33	14	33	13	11	11	28	19
# misassemblies	7	11	19	10	6	8	5	7	6	10
Misassembled contigs length	15751	183425	216881	788570	231931	505899	385887	620123	45660	273985
# local misassemblies	1	13	3	15	274	383	4	11	6	123
# unaligned contigs	0 + 97 part	0 + 0 part	0 + 3 part	0 + 2 part	2 + 4 part	1 + 3 part	57 + 3 part	3 + 0 part	1 + 2 part	1 + 0 part
Unaligned contigs length	7706	0	811	399	8949	1307	46754	2685	6297	549
Genome fraction (%)	7.639	95.321	97.670	98.152	96.774	97.200	98.752	98.753	96.242	96.251
Duplication ratio	1.011	1.023	1.023	1.013	1.011	1.012	1.004	1.062	1.007	1.016
# N's per 100 kbp	0.00	25.97	0.00	17.54	1026.18	1287.95	5.84	9.00	1.28	515.80
# mismatches per 100 kbp	36.35	7.41	6.27	68.83	3.95	8.16	4.90	7.03	4.33	5.80
# indels per 100 kbp	17.20	18.75	3.17	12.07	3.00	2.99	3.11	3.72	2.65	5.28
# genes	123 + 277 part	3383 + 84 part	3534 + 66 part	3568 + 51 part	3349 + 155 part	3299 + 215 part	3598 + 28 part	3586 + 26 part	3459 + 71 part	3379 + 130 part
Largest alignment	5582	355655	255146	555729	246082	573310	741022	572859	246346	409820
NA50	1624	134075	76131	236430	91868	180945	262160	214751	105176	163055
NGA50	-	102118	76131	236430	89757	180945	262160	214751	105176	156829
NA75	1288	47302	45141	76901	38643	92058	106531	129169	43442	71376
NGA75	-	40477	45141	76901	38321	92058	106531	152627	39408	59664
LA50	72	10	16	6	14	7	5	7	12	8
LGA50	-	11	16	6	15	7	5	7	12	9
LA75	128	25	34	15	33	14	12	13	26	18
LGA75	-	28	34	15	34	14	12	12	28	20
