All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     CABOG_miseq_ctg  CABOG_hiseq_ctg  MaSuRCA_miseq_ctg  MaSuRCA_hiseq_ctg  SPAdes_miseq_ctg  SPAdes_hiseq_ctg  Velvet_miseq_ctg  Velvet_hiseq_ctg  CABOG_miseq_scf  CABOG_hiseq_scf  MaSuRCA_miseq_scf  MaSuRCA_hiseq_scf  SPAdes_miseq_scf  SPAdes_hiseq_scf  Velvet_miseq_scf  Velvet_hiseq_scf
# contigs (>= 200 bp)        286              519              182                179                786               134               179               246               285              183              180                132                784               129               173               142             
# contigs (>= 1000 bp)       286              499              144                135                71                69                108               177               285              183              143                99                 69                64                108               79              
Total length (>= 200 bp)     3790980          3708859          3974638            4013483            4209962           3948039           3905232           3903763           3791000          3717805          3974678            4014423            4209915           3948176           3904657           3916708         
Total length (>= 1000 bp)    3790980          3698786          3951385            3986296            3908698           3915729           3872950           3870711           3791000          3717805          3951885            3994223            3908651           3915866           3875057           3886781         
# contigs                    286              509              168                164                186               98                135               205               285              183              167                118                184               93                133               104             
Total length                 3790980          3705707          3968761            4007678            3983820           3935605           3891789           3889783           3791000          3717805          3969261            4008981            3983773           3935742           3892321           3903678         
Largest contig               106586           39047            232643             211069             392814            536022            246346            157831            106586           184259           232643             555891             392814            536022            246346            411927          
Reference length             4033464          4033464          4033464            4033464            4033464           4033464           4033464           4033464           4033464          4033464          4033464            4033464            4033464           4033464           4033464           4033464         
GC (%)                       47.92            47.94            47.44              47.51              47.34             47.51             47.69             47.64             47.92            47.93            47.44              47.51              47.34             47.51             47.69             47.63           
Reference GC (%)             47.49            47.49            47.49              47.49              47.49             47.49             47.49             47.49             47.49            47.49            47.49              47.49              47.49             47.49             47.49             47.49           
N50                          24969            10437            65767              93473              246502            225872            105176            46346             24969            38698            65767              133199             258677            343954            105176            163386          
NG50                         22450            9568             65767              93473              215247            197838            105176            41373             22450            35387            65767              133199             258677            258937            105176            157209          
N75                          12543            6201             43921              43374              105135            97170             43442             22927             12652            19302            43921              77491              105135            166780            43442             75755           
NG75                         10823            5114             42523              43374              91956             95888             39408             20721             10885            17084            42523              77491              105135            97170             39408             71623           
L50                          47               101              18                 14                 6                 6                 12                28                47               30               18                 8                  6                 5                 12                8               
LG50                         52               117              18                 14                 7                 7                 12                30                52               34               18                 8                  6                 6                 12                9               
L75                          101              217              37                 30                 12                12                26                59                100              64               37                 18                 12                10                26                18              
LG75                         116              260              38                 30                 13                13                28                63                116              77               38                 18                 12                11                28                19              
# misassemblies              8                8                9                  8                  4                 8                 5                 9                 9                10               11                 13                 4                 8                 6                 10              
Misassembled contigs length  30914            39006            140011             228152             533480            613451            28731             127292            46637            169129           151551             610408             533480            613488            45660             273985          
# local misassemblies        6                7                6                  6                  1                 3                 3                 9                 6                38               6                  20                 3                 6                 6                 123             
# unaligned contigs          0 + 1 part       0 + 1 part       0 + 1 part         0 + 4 part         81 + 3 part       3 + 0 part        1 + 2 part        1 + 0 part        0 + 1 part       0 + 0 part       0 + 1 part         0 + 4 part         81 + 3 part       3 + 0 part        1 + 2 part        1 + 0 part      
Unaligned contigs length     49               52               453                475                56002             2685              6297              549               49               0                453                475                56002             2685              6297              549             
Genome fraction (%)          93.765           91.790           96.349             98.498             97.350            97.468            96.234            96.340            93.765           92.029           96.353             98.498             97.356            97.478            96.242            96.251          
Duplication ratio            1.009            1.002            1.027              1.009              1.001             1.006             1.007             1.012             1.009            1.044            1.027              1.010              1.001             1.011             1.007             1.016           
# N's per 100 kbp            0.00             0.00             0.00               0.00               0.00              0.00              0.00              0.00              0.53             189.33           1.01               23.45              0.00              0.00              1.28              515.80          
# mismatches per 100 kbp     6.95             9.53             5.04               50.57              6.88              6.77              4.23              5.89              7.01             8.49             5.04               50.95              7.13              6.66              4.33              5.80            
# indels per 100 kbp         3.70             4.65             3.37               5.64               3.36              3.38              2.63              3.14              3.70             65.49            3.37               16.71              3.46              3.87              2.65              5.28            
# genes                      3286 + 166 part  2970 + 384 part  3480 + 60 part     3541 + 87 part     3505 + 25 part    3519 + 21 part    3460 + 70 part    3392 + 121 part   3286 + 166 part  3185 + 170 part  3480 + 60 part     3557 + 71 part     3508 + 25 part    3524 + 20 part    3459 + 71 part    3379 + 130 part 
Largest alignment            106586           39047            232643             211069             392814            536022            246346            157831            106586           184259           232643             555891             392814            536022            246346            409820          
NA50                         24969            10437            65252              81529              198500            197838            105176            42805             24969            38209            65252              132265             215247            246236            105176            163055          
NGA50                        22450            9546             63260              81529              198500            197838            105176            41373             22450            34659            63260              132265             215247            246236            105176            156829          
NA75                         12543            6069             43921              43374              91956             95888             43442             22638             12543            19085            43921              71696              105081            106179            43442             71376           
NGA75                        10092            5039             42523              43374              91956             92090             39408             19470             10092            16587            42523              70982              91956             97170             39408             59664           
LA50                         47               101              18                 15                 7                 7                 12                28                47               31               18                 9                  7                 6                 12                8               
LGA50                        52               118              19                 15                 7                 7                 12                30                52               35               19                 9                  7                 6                 12                9               
LA75                         101              218              37                 31                 14                14                26                59                101              65               37                 19                 13                11                26                18              
LGA75                        117              262              38                 31                 14                15                28                64                117              78               38                 20                 14                12                28                20              
