All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     CABOG_miseq_ctg  CABOG_hiseq_ctg  MaSuRCA_miseq_ctg  MaSuRCA_hiseq_ctg  SPAdes_miseq_ctg  SPAdes_hiseq_ctg  Velvet_miseq_ctg  Velvet_hiseq_ctg
# contigs (>= 200 bp)        286              519              182                179                786               134               179               246             
# contigs (>= 1000 bp)       286              499              144                135                71                69                108               177             
Total length (>= 200 bp)     3790980          3708859          3974638            4013483            4209962           3948039           3905232           3903763         
Total length (>= 1000 bp)    3790980          3698786          3951385            3986296            3908698           3915729           3872950           3870711         
# contigs                    286              509              168                164                186               98                135               205             
Total length                 3790980          3705707          3968761            4007678            3983820           3935605           3891789           3889783         
Largest contig               106586           39047            232643             211069             392814            536022            246346            157831          
Reference length             4033464          4033464          4033464            4033464            4033464           4033464           4033464           4033464         
GC (%)                       47.92            47.94            47.44              47.51              47.34             47.51             47.69             47.64           
Reference GC (%)             47.49            47.49            47.49              47.49              47.49             47.49             47.49             47.49           
N50                          24969            10437            65767              93473              246502            225872            105176            46346           
NG50                         22450            9568             65767              93473              215247            197838            105176            41373           
N75                          12543            6201             43921              43374              105135            97170             43442             22927           
NG75                         10823            5114             42523              43374              91956             95888             39408             20721           
L50                          47               101              18                 14                 6                 6                 12                28              
LG50                         52               117              18                 14                 7                 7                 12                30              
L75                          101              217              37                 30                 12                12                26                59              
LG75                         116              260              38                 30                 13                13                28                63              
# misassemblies              8                8                9                  8                  4                 8                 5                 9               
Misassembled contigs length  30914            39006            140011             228152             533480            613451            28731             127292          
# local misassemblies        6                7                6                  6                  1                 3                 3                 9               
# unaligned contigs          0 + 1 part       0 + 1 part       0 + 1 part         0 + 4 part         81 + 3 part       3 + 0 part        1 + 2 part        1 + 0 part      
Unaligned contigs length     49               52               453                475                56002             2685              6297              549             
Genome fraction (%)          93.765           91.790           96.349             98.498             97.350            97.468            96.234            96.340          
Duplication ratio            1.009            1.002            1.027              1.009              1.001             1.006             1.007             1.012           
# N's per 100 kbp            0.00             0.00             0.00               0.00               0.00              0.00              0.00              0.00            
# mismatches per 100 kbp     6.95             9.53             5.04               50.57              6.88              6.77              4.23              5.89            
# indels per 100 kbp         3.70             4.65             3.37               5.64               3.36              3.38              2.63              3.14            
# genes                      3286 + 166 part  2970 + 384 part  3480 + 60 part     3541 + 87 part     3505 + 25 part    3519 + 21 part    3460 + 70 part    3392 + 121 part 
Largest alignment            106586           39047            232643             211069             392814            536022            246346            157831          
NA50                         24969            10437            65252              81529              198500            197838            105176            42805           
NGA50                        22450            9546             63260              81529              198500            197838            105176            41373           
NA75                         12543            6069             43921              43374              91956             95888             43442             22638           
NGA75                        10092            5039             42523              43374              91956             92090             39408             19470           
LA50                         47               101              18                 15                 7                 7                 12                28              
LGA50                        52               118              19                 15                 7                 7                 12                30              
LA75                         101              218              37                 31                 14                14                26                59              
LGA75                        117              262              38                 31                 14                15                28                64              
