Assembly	CABOG_miseq_scf broken	CABOG_miseq_scf	CABOG_hiseq_scf broken	CABOG_hiseq_scf	MaSuRCA_miseq_scf broken	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf broken	MaSuRCA_hiseq_scf	SPAdes_miseq_scf broken	SPAdes_miseq_scf	SPAdes_hiseq_scf broken	SPAdes_hiseq_scf	Velvet_miseq_scf broken	Velvet_miseq_scf	Velvet_hiseq_scf broken	Velvet_hiseq_scf
# misassemblies	8	9	8	10	9	11	8	13	4	4	8	8	5	6	8	10
    # relocations	7	7	7	9	7	9	7	12	4	4	7	7	5	6	8	9
    # translocations	1	2	1	1	2	2	1	1	0	0	1	1	0	0	0	1
    # inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	7	8	7	8	9	11	8	12	3	3	7	7	5	6	8	9
Misassembled contigs length	30914	46637	39006	169129	140011	151551	228152	610408	533480	533480	613488	613488	28731	45660	69468	273985
# local misassemblies	6	6	7	38	6	6	6	20	3	3	6	6	3	6	6	123
# mismatches	263	265	353	315	205	196	2008	2024	280	280	262	262	155	168	221	225
# indels	140	140	172	2431	131	131	223	664	136	136	152	152	102	103	131	205
    # short indels (<= 5 bp)	138	138	169	2267	126	126	216	646	134	134	142	142	98	98	126	196
    # long indels (> 5 bp)	2	2	3	164	5	5	7	18	2	2	10	10	4	5	5	9
Indels length	158	158	200	5718	169	169	292	954	174	174	358	358	137	145	173	374
