All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     VC-H-Abyss-Scaffold broken  VC-H-Abyss-Scaffold  VC-H-Cabog-Scaffold broken  VC-H-Cabog-Scaffold  VC-H-Msrca-Scaffold broken  VC-H-Msrca-Scaffold  VC-H-Sga-Scaffold broken  VC-H-Sga-Scaffold  VC-H-Soap-Scaffold broken  VC-H-Soap-Scaffold  VC-H-Spades-Scaffold broken  VC-H-Spades-Scaffold  VC-H-Velvet-Scaffold broken  VC-H-Velvet-Scaffold
# contigs (>= 200 bp)        221                         122                  127                         108                  105                         102                  430                       430                139                        114                 120                          120                   261                          124                 
# contigs (>= 1000 bp)       153                         87                   127                         108                  80                          77                   274                       274                81                         58                  95                           95                    183                          65                  
Total length (>= 200 bp)     4098964                     4116237              3855600                     3855980              3994617                     3994677              3892845                   3892845            3945991                    3948617             4016891                      4016891               3931494                      3954039             
Total length (>= 1000 bp)    4064893                     4099616              3855600                     3855980              3980159                     3980219              3822893                   3822893            3919085                    3923264             4004247                      4004247               3894214                      3927326             
# contigs                    187                         102                  127                         108                  91                          88                   331                       331                100                        75                  106                          106                   213                          85                  
Total length                 4086764                     4109111              3855600                     3855980              3989162                     3989222              3861930                   3861930            3932751                    3935433             4012066                      4012066               3914915                      3940257             
Largest contig               252583                      523887               256726                      256726               555664                      555664               108154                    108154             425556                     574497              246251                       246251                157783                       524347              
Reference length             4033464                     4033464              4033464                     4033464              4033464                     4033464              4033464                   4033464            4033464                    4033464             4033464                      4033464               4033464                      4033464             
GC (%)                       47.57                       47.57                47.53                       47.53                47.50                       47.50                47.55                     47.55              47.52                      47.52               47.42                        47.42                 47.50                        47.50               
Reference GC (%)             47.49                       47.49                47.49                       47.49                47.49                       47.49                47.49                     47.49              47.49                      47.49               47.49                        47.49                 47.49                        47.49               
N50                          61204                       217596               61249                       67078                241604                      246505               24152                     24152              135118                     200529              98274                        98274                 40877                        172545              
NG50                         61204                       217596               57883                       67009                241604                      246505               23429                     23429              125939                     181109              98274                        98274                 40085                        172545              
N75                          32019                       80568                29636                       34758                85155                       85155                12815                     12815              65780                      102918              52916                        52916                 22754                        92099               
NG75                         32118                       82716                26097                       28288                79323                       79323                10978                     10978              62739                      102918              52916                        52916                 20673                        82167               
L50                          20                          6                    19                          16                   6                           6                    48                        48                 10                         6                   13                           13                    30                           7                   
LG50                         20                          6                    21                          17                   6                           6                    52                        52                 11                         7                   13                           13                    31                           7                   
L75                          42                          15                   43                          36                   13                          13                   102                       102                21                         13                  26                           26                    62                           14                  
LG75                         41                          14                   48                          40                   14                          14                   113                       113                22                         13                  26                           26                    66                           15                  
# misassemblies              10                          16                   20                          21                   8                           9                    3                         3                  15                         15                  21                           21                    4                            10                  
Misassembled contigs length  515805                      924513               385832                      531956               708761                      716209               17831                     17831              1155029                    1605854             390381                       390381                55189                        395034              
# local misassemblies        6                           68                   11                          23                   5                           7                    0                         0                  50                         76                  17                           17                    8                            129                 
# unaligned contigs          1 + 0 part                  1 + 0 part           0 + 0 part                  0 + 0 part           0 + 2 part                  0 + 2 part           1 + 0 part                1 + 0 part         1 + 1 part                 1 + 1 part          1 + 1 part                   1 + 1 part            1 + 1 part                   1 + 0 part          
Unaligned contigs length     602                         602                  0                           0                    399                         399                  551                       551                603                        603                 1261                         1261                  576                          549                 
Genome fraction (%)          97.871                      98.010               95.623                      95.629               98.147                      98.147               95.589                    95.589             97.295                     97.305              98.209                       98.209                97.038                       97.140              
Duplication ratio            1.051                       1.055                1.007                       1.012                1.013                       1.013                1.002                     1.002              1.009                      1.009               1.021                        1.021                 1.011                        1.016               
# N's per 100 kbp            3.99                        424.33               0.00                        9.85                 0.00                        1.50                 0.00                      0.00               0.00                       56.11               0.00                         0.00                  0.00                         547.10              
# mismatches per 100 kbp     7.24                        7.34                 17.01                       17.32                68.63                       68.63                2.98                      2.98               14.02                      14.01               8.13                         9.26                  4.47                         5.18                
# indels per 100 kbp         5.70                        6.68                 7.34                        9.00                 6.85                        6.85                 2.62                      2.62               5.58                       5.58                7.83                         8.00                  4.85                         9.44                
# genes                      3484 + 79 part              3515 + 54 part       3374 + 123 part             3380 + 117 part      3573 + 46 part              3573 + 46 part       3272 + 159 part           3272 + 159 part    3479 + 50 part             3480 + 50 part      3544 + 46 part               3544 + 46 part        3386 + 132 part              3400 + 128 part     
Largest alignment            220353                      522201               256726                      256726               555664                      555664               108154                    108154             425699                     574463              246251                       246251                157783                       521619              
NA50                         61162                       156774               57813                       63201                236373                      236373               24152                     24152              112904                     181115              95858                        95858                 40877                        171505              
NGA50                        61162                       156774               53007                       62046                236373                      236373               23429                     23429              112904                     181115              94762                        94762                 39468                        171505              
NA75                         29070                       67355                28288                       33039                76901                       76901                12813                     12813              62739                      92025               52911                        52911                 22753                        91938               
NGA75                        29699                       71310                25832                       28288                76901                       76901                10978                     10978              62256                      92025               52911                        52911                 20673                        80883               
LA50                         21                          7                    21                          18                   6                           6                    48                        48                 11                         7                   13                           13                    30                           7                   
LGA50                        21                          7                    22                          19                   6                           6                    52                        52                 11                         7                   14                           14                    31                           7                   
LA75                         45                          18                   46                          39                   15                          15                   102                       102                22                         14                  27                           27                    62                           14                  
LGA75                        43                          17                   51                          43                   15                          15                   113                       113                23                         14                  27                           27                    66                           15                  
