All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     SA-H-Abyss-Contig  SA-H-Cabog-Contig  SA-H-Mira-Contig  SA-H-Msrca-Contig  SA-H-Sga-Contig  SA-H-Soap-Contig  SA-H-Spades-Contig  SA-H-Velvet-Contig
# contigs (>= 200 bp)        103                56                 209               52                 259              70                68                  70                
# contigs (>= 1000 bp)       89                 56                 68                35                 130              48                40                  57                
Total length (>= 200 bp)     3037780            2796508            2884172           2896852            2820633          2828161           2861578             2827522           
Total length (>= 1000 bp)    3031704            2796508            2825994           2889489            2774031          2820329           2851518             2822704           
# contigs                    92                 56                 110               39                 150              52                44                  60                
Total length                 3034102            2796508            2853942           2892444            2787797          2822930           2854235             2824718           
Largest contig               244957             285328             379101            449789             173010           364183            350174              336190            
Reference length             2903081            2903081            2903081           2903081            2903081          2903081           2903081             2903081           
GC (%)                       32.92              32.73              32.75             32.85              32.63            32.69             32.78               32.73             
Reference GC (%)             32.73              32.73              32.73             32.73              32.73            32.73             32.73               32.73             
N50                          64963              111165             132448            221821             39954            146332            187080              122507            
NG50                         73887              102839             132448            221821             38102            146332            187080              122507            
N75                          38351              56580              50006             123428             28545            92436             105739              52580             
NG75                         39976              53749              50006             123428             23344            53313             105739              49888             
L50                          13                 7                  7                 5                  22               7                 6                   7                 
LG50                         12                 8                  7                 5                  23               7                 6                   7                 
L75                          29                 16                 16                9                  43               13                11                  15                
LG75                         26                 17                 16                9                  46               14                11                  17                
# misassemblies              62                 78                 80                75                 34               61                67                  66                
Misassembled contigs length  2018672            2395546            2301598           2708175            1102196          2429427           2666808             2360697           
# local misassemblies        68                 63                 77                78                 44               79                83                  78                
# unaligned contigs          7 + 18 part        5 + 14 part        49 + 13 part      3 + 8 part         29 + 30 part     9 + 10 part       7 + 8 part          11 + 9 part       
Unaligned contigs length     185987             62472              100677            110359             158596           93771             81227               95288             
Genome fraction (%)          90.923             89.895             90.489            90.420             89.180           90.076            90.647              90.395            
Duplication ratio            1.080              1.049              1.050             1.062              1.016            1.045             1.056               1.041             
# N's per 100 kbp            0.00               0.00               1.61              0.00               0.00             0.00              2.00                0.00              
# mismatches per 100 kbp     850.36             852.32             867.95            889.85             817.55           859.46            862.97              867.44            
# indels per 100 kbp         61.07              72.39              60.62             59.29              39.19            54.12             52.35               59.26             
# genes                      2466 + 66 part     2454 + 57 part     2469 + 64 part    2473 + 56 part     2374 + 80 part   2448 + 56 part    2477 + 54 part      2463 + 61 part    
Largest alignment            187397             172651             187515            187458             137514           187397            187456              187397            
NA50                         42776              45901              52166             70865              32628            79978             70865               64058             
NGA50                        49061              45835              49345             70865              32014            79978             70865               57767             
NA75                         22162              26603              31712             37339              17410            33715             37339               33895             
NGA75                        27300              23299              31356             34865              15924            32354             34865               32712             
LA50                         19                 17                 16                13                 28               13                13                  14                
LGA50                        18                 18                 17                13                 30               13                13                  15                
LA75                         42                 35                 34                27                 54               27                27                  30                
LGA75                        38                 38                 35                28                 60               29                28                  32                
