All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     BC-H-Abyss-Contig  BC-H-Cabog-Contig  BC-H-Mira-Contig  BC-H-Msrca-Contig  BC-H-Sga-Contig  BC-H-Soap-Contig  BC-H-Spades-Contig  BC-H-Velvet-Contig
# contigs (>= 200 bp)        472                164                677               250                967              412               1043                377               
# contigs (>= 1000 bp)       325                163                437               180                463              248               179                 251               
Total length (>= 200 bp)     5837565            4797470            5668940           5639383            5588248          5637793           5952240             4993552           
Total length (>= 1000 bp)    5771919            4796994            5517018           5602907            5397822          5573897           5678972             4944132           
# contigs                    374                163                610               210                567              284               252                 282               
Total length                 5805336            4796994            5641826           5624071            5471145          5599263           5729752             4966856           
Largest contig               257581             387299             524448            397830             108975           268115            459337              267159            
Reference length             5432652            5432652            5432652           5432652            5432652          5432652           5432652             5432652           
GC (%)                       35.20              34.96              35.21             35.21              35.18            35.19             35.26               35.48             
Reference GC (%)             35.50              35.50              35.50             35.50              35.50            35.50             35.50               35.50             
N50                          42572              79405              43373             97165              23397            57780             94312               44126             
NG50                         48302              61625              47354             103595             23414            57933             97169               38930             
N75                          19054              31477              15003             34913              10868            21257             37419               20909             
NG75                         21996              18467              18696             40080              11069            23414             48782               14779             
L50                          38                 17                 28                16                 69               30                15                  33                
LG50                         34                 22                 25                15                 68               29                14                  39                
L75                          92                 43                 85                40                 155              74                38                  74                
LG75                         78                 63                 75                36                 153              68                33                  94                
# misassemblies              5                  0                  1                 4                  0                1                 5                   0                 
Misassembled contigs length  3003               0                  995               3269               0                503               3725                0                 
# local misassemblies        2                  0                  0                 1                  0                1                 0                   0                 
# unaligned contigs          317 + 42 part      122 + 41 part      490 + 70 part     152 + 50 part      541 + 26 part    250 + 31 part     179 + 55 part       250 + 27 part     
Unaligned contigs length     5755368            4757247            5551044           5565814            5444412          5562696           5659887             4924740           
Genome fraction (%)          0.792              0.588              1.555             0.897              0.488            0.656             1.048               0.759             
Duplication ratio            1.163              1.244              1.075             1.198              1.008            1.026             1.229               1.022             
# N's per 100 kbp            0.00               0.00               4.54              0.00               0.00             0.00              16.04               0.00              
# mismatches per 100 kbp     3383.28            3550.71            3381.23           2881.27            3977.69          3904.84           2353.02             3487.03           
# indels per 100 kbp         209.06             310.54             117.36            205.49             118.45           142.17            179.25              118.84            
# genes                      95 + 11 part       59 + 14 part       119 + 77 part     112 + 23 part      22 + 6 part      49 + 4 part       88 + 24 part        46 + 7 part       
Largest alignment            9186               5194               5197              9186               5197             9186              9186                9186              
