All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes          Largest alignment  NA50    NGA50   NA75    NGA75   LA50  LGA50  LA75  LGA75  
1_BC-H-Abyss-Contig   374        5805336       257581          5432652           35.20   35.50             42572   48302   19054   21996   38   34    92   78    5                3003                         2                      317 + 42 part        5755368                   0.792                1.163              0.00               3383.28                   209.06                95 + 11 part     9186               -       -       -       -       -     -      -     -      
1_BC-H-Cabog-Contig   163        4796994       387299          5432652           34.96   35.50             79405   61625   31477   18467   17   22    43   63    0                0                            0                      122 + 41 part        4757247                   0.588                1.244              0.00               3550.71                   310.54                59 + 14 part     5194               -       -       -       -       -     -      -     -      
1_BC-H-Mira-Contig    610        5641826       524448          5432652           35.21   35.50             43373   47354   15003   18696   28   25    85   75    1                995                          0                      490 + 70 part        5551044                   1.555                1.075              4.54               3381.23                   117.36                119 + 77 part    5197               -       -       -       -       -     -      -     -      
1_BC-H-Msrca-Contig   210        5624071       397830          5432652           35.21   35.50             97165   103595  34913   40080   16   15    40   36    4                3269                         1                      152 + 50 part        5565814                   0.897                1.198              0.00               2881.27                   205.49                112 + 23 part    9186               -       -       -       -       -     -      -     -      
1_BC-H-Sga-Contig     567        5471145       108975          5432652           35.18   35.50             23397   23414   10868   11069   69   68    155  153   0                0                            0                      541 + 26 part        5444412                   0.488                1.008              0.00               3977.69                   118.45                22 + 6 part      5197               -       -       -       -       -     -      -     -      
1_BC-H-Soap-Contig    284        5599263       268115          5432652           35.19   35.50             57780   57933   21257   23414   30   29    74   68    1                503                          1                      250 + 31 part        5562696                   0.656                1.026              0.00               3904.84                   142.17                49 + 4 part      9186               -       -       -       -       -     -      -     -      
1_BC-H-Spades-Contig  252        5729752       459337          5432652           35.26   35.50             94312   97169   37419   48782   15   14    38   33    5                3725                         0                      179 + 55 part        5659887                   1.048                1.229              16.04              2353.02                   179.25                88 + 24 part     9186               -       -       -       -       -     -      -     -      
1_BC-H-Velvet-Contig  282        4966856       267159          5432652           35.48   35.50             44126   38930   20909   14779   33   39    74   94    0                0                            0                      250 + 27 part        4924740                   0.759                1.022              0.00               3487.03                   118.84                46 + 7 part      9186               -       -       -       -       -     -      -     -      
2_BC-M-Abyss-Contig   87         5380960       430487          5432652           35.30   35.50             130570  130570  69698   65667   12   12    26   27    2                52909                        25                     0 + 1 part           2338                      98.451               1.010              102.42             6.56                      8.00                  5813 + 73 part   430487             130570  130570  69698   65667   12    12     26    27     
2_BC-M-Cabog-Contig   77         5419570       258489          5432652           35.41   35.50             155352  155352  76333   76333   13   13    26   26    4                541451                       6                      0 + 1 part           2142                      99.323               1.006              0.00               4.80                      2.41                  5934 + 64 part   258489             150479  150479  74529   74529   14    14     27    27     
2_BC-M-Mira-Contig    132        5413818       311769          5432652           35.42   35.50             116480  116480  52231   52231   14   14    32   32    8                532679                       14                     3 + 4 part           5369                      99.155               1.010              3.53               4.85                      2.21                  5919 + 85 part   311769             100038  100038  51519   51519   15    15     34    34     
2_BC-M-Msrca-Contig   68         5432639       766822          5432652           35.39   35.50             246697  246697  170659  170659  6    6     13   13    9                289559                       11                     0 + 1 part           2142                      99.160               1.011              0.00               9.08                      3.58                  5961 + 43 part   766822             246697  246697  170659  170659  6     6      13    13     
2_BC-M-Sga-Contig     361        5368062       106317          5432652           35.30   35.50             25767   25512   16197   15678   64   65    129  132   1                508                          1                      0 + 2 part           2237                      98.348               1.004              0.00               0.80                      2.04                  5684 + 231 part  106317             25767   25512   16197   15678   64    65     129   132    
2_BC-M-Soap-Contig    79         5341631       606530          5432652           35.28   35.50             246346  246346  78462   74856   6    6     16   17    0                0                            21                     1 + 0 part           2316                      98.226               1.003              0.00               8.96                      2.98                  5828 + 58 part   606357             246346  246346  78462   74856   6     6      16    17     
2_BC-M-Spades-Contig  113        5395402       346945          5432652           35.36   35.50             103691  103691  60216   57869   17   17    34   35    5                105455                       14                     2 + 1 part           3406                      98.926               1.008              4.10               12.78                     2.92                  5896 + 68 part   346882             103691  103691  60216   57817   17    17     34    35     
2_BC-M-Velvet-Contig  373        5310336       91844           5432652           35.29   35.50             24786   24465   13917   13213   65   68    136  143   3                72913                        11                     1 + 3 part           2596                      97.661               1.003              0.00               6.18                      3.13                  5543 + 328 part  91844              24577   24465   13814   13213   66    68     137   143    
