All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     AH-H-Abyss-Contig  AH-H-Cabog-Contig  AH-H-Mira-Contig  AH-H-Msrca-Contig  AH-H-Sga-Contig  AH-H-Soap-Contig  AH-H-Spades-Contig  AH-H-Velvet-Contig  AH-H-Abyss-Scaffold  AH-H-Cabog-Scaffold  AH-H-Msrca-Scaffold  AH-H-Sga-Scaffold  AH-H-Soap-Scaffold  AH-H-Spades-Scaffold  AH-H-Velvet-Scaffold
# contigs (>= 200 bp)        75                 105                1049              32                 207              62                312                 65                  61                   37                   30                   189                52                  305                   41                  
# contigs (>= 1000 bp)       52                 81                 58                25                 132              36                38                  51                  43                   37                   23                   131                28                  31                    28                  
Total length (>= 200 bp)     4975699            5008564            5236877           4915618            4887335          4894757           5008089             4889792             4974710              5010956              4915658              4878115            4894767             5007699               4891015             
Total length (>= 1000 bp)    4967717            4994206            4921055           4912397            4862122          4885465           4923079             4884654             4968254              5010956              4912437              4859624            4886477             4922634               4886186             
# contigs                    54                 94                 118               28                 144              41                47                  53                  45                   37                   26                   138                32                  40                    30                  
Total length                 4969260            5004541            4958807           4914380            4869935          4888841           4929385             4886581             4969781              5010956              4914420              4864352            4889068             4928940               4888113             
Largest contig               654090             710684             290325            1124684            199964           455879            592124              526254              654090               712801               1124684              199964             656756              703652                803895              
Reference length             4744448            4744448            4744448           4744448            4744448          4744448           4744448             4744448             4744448              4744448              4744448              4744448            4744448             4744448               4744448             
GC (%)                       61.53              61.60              61.57             61.61              61.62            61.61             61.54               61.61               61.53                61.60                61.61                61.63              61.61               61.54                 61.61               
Reference GC (%)             61.55              61.55              61.55             61.55              61.55            61.55             61.55               61.55               61.55                61.55                61.55                61.55              61.55               61.55                 61.55               
N50                          237457             278382             244066            828647             67129            243851            379681              180361              268392               278382               862315               67129              334435              379681                301388              
NG50                         237457             278382             246249            828647             68839            243851            379681              184389              268392               278382               862315               68839              334435              491198                335956              
N75                          121603             133236             137773            235264             38026            136903            129901              93861               137136               189722               245339               39052              230185              230049                229873              
NG75                         122207             156215             140806            245339             40005            165019            137987              104748              137898               207147               245339               40005              230185              237931                229873              
L50                          7                  6                  10                3                  25               8                 5                   9                   6                    6                    3                    25                 5                   5                     5                   
LG50                         7                  6                  9                 3                  24               8                 5                   8                   6                    6                    3                    24                 5                   4                     4                   
L75                          15                 12                 16                7                  50               15                12                  18                  13                   11                   6                    49                 9                   9                     9                   
LG75                         14                 11                 15                6                  47               14                11                  17                  12                   10                   6                    47                 9                   8                     9                   
# misassemblies              0                  2                  1                 2                  3                0                 1                   0                   1                    2                    2                    3                  0                   1                     0                   
Misassembled contigs length  0                  28456              19737             3104               131784           0                 579                 0                   2772                 28456                3104                 131784             0                   579                   0                   
# local misassemblies        0                  1                  3                 0                  9                0                 0                   0                   0                    1                    0                    9                  1                   0                     0                   
# unaligned contigs          12 + 34 part       40 + 32 part       72 + 36 part      2 + 21 part        68 + 61 part     6 + 28 part       13 + 26 part        10 + 39 part        9 + 28 part          10 + 25 part         1 + 20 part          65 + 61 part       6 + 19 part         11 + 21 part          6 + 20 part         
Unaligned contigs length     4234083            4265289            4226670           4256366            4059484          4182196           4192431             4183402             4240350              4308234              4256409              4055731            4194663             4195839               4200746             
Genome fraction (%)          15.010             14.751             15.145            13.728             15.852           14.870            15.166              14.808              14.876               14.450               13.730               15.814             14.613              15.085                14.477              
Duplication ratio            1.032              1.056              1.021             1.010              1.078            1.002             1.024               1.001               1.033                1.025                1.010                1.078              1.002               1.024                 1.001               
# N's per 100 kbp            1.83               0.00               4.21              0.00               0.00             0.00              1.28                0.00                9.88                 31.65                0.81                 0.00               0.20                1.28                  23.08               
# mismatches per 100 kbp     2686.51            3837.64            3566.60           3634.39            4131.45          3967.49           3611.13             3648.52             2698.92              4041.34              3634.39              4147.71            3651.42             2956.05               3612.72             
# indels per 100 kbp         112.68             141.51             156.57            140.76             166.19           140.82            134.68              120.10              117.12               201.68               140.76               166.92             126.16              111.67                113.49              
# genes                      607 + 66 part      598 + 73 part      633 + 64 part     565 + 66 part      623 + 77 part    603 + 67 part     617 + 62 part       606 + 61 part       603 + 65 part        592 + 67 part        566 + 66 part        623 + 75 part      598 + 64 part       613 + 62 part         592 + 57 part       
Largest alignment            52419              52397              52419             52419              52419            52419             52419               52419               52419                52397                52419                52419              52419               52419                 52419               
