Assembly	1_AH-H-Abyss-Contig	1_AH-H-Cabog-Contig	1_AH-H-Mira-Contig	1_AH-H-Msrca-Contig	1_AH-H-Sga-Contig	1_AH-H-Soap-Contig	1_AH-H-Spades-Contig	1_AH-H-Velvet-Contig	2_BC-H-Abyss-Contig	2_BC-H-Cabog-Contig	2_BC-H-Mira-Contig	2_BC-H-Msrca-Contig	2_BC-H-Sga-Contig	2_BC-H-Soap-Contig	2_BC-H-Spades-Contig	2_BC-H-Velvet-Contig	3_BC-M-Abyss-Contig	3_BC-M-Cabog-Contig	3_BC-M-Mira-Contig	3_BC-M-Msrca-Contig	3_BC-M-Sga-Contig	3_BC-M-Soap-Contig	3_BC-M-Spades-Contig	3_BC-M-Velvet-Contig	4_BF-H-Abyss-Contig	4_BF-H-Cabog-Contig	4_BF-H-Mira-Contig	4_BF-H-Msrca-Contig	4_BF-H-Sga-Contig	4_BF-H-Soap-Contig	4_BF-H-Spades-Contig	4_BF-H-Velvet-Contig	5_MA-H-Abyss-Contig	5_MA-H-Cabog-Contig	5_MA-H-Mira-Contig	5_MA-H-Msrca-Contig	5_MA-H-Sga-Contig	5_MA-H-Soap-Contig	5_MA-H-Spades-Contig	5_MA-H-Velvet-Contig	6_MA-M-Abyss-Contig	6_MA-M-Cabog-Contig	6_MA-M-Mira-Contig	6_MA-M-Msrca-Contig	6_MA-M-Sga-Contig	6_MA-M-Soap-Contig	6_MA-M-Spades-Contig	6_MA-M-Velvet-Contig	7_RS-H-Abyss-Contig	7_RS-H-Cabog-Contig	7_RS-H-Mira-Contig	7_RS-H-Msrca-Contig	7_RS-H-Sga-Contig	7_RS-H-Soap-Contig	7_RS-H-Spades-Contig	7_RS-H-Velvet-Contig	8_RS-M-Abyss-Contig	8_RS-M-Cabog-Contig	8_RS-M-Mira-Contig	8_RS-M-Msrca-Contig	8_RS-M-Sga-Contig	8_RS-M-Soap-Contig	8_RS-M-Spades-Contig	8_RS-M-Velvet-Contig	9_SA-H-Abyss-Contig	9_SA-H-Cabog-Contig	9_SA-H-Mira-Contig	9_SA-H-Msrca-Contig	9_SA-H-Sga-Contig	9_SA-H-Soap-Contig	9_SA-H-Spades-Contig	9_SA-H-Velvet-Contig	10_VC-H-Abyss-Contig	10_VC-H-Cabog-Contig	10_VC-H-Mira-Contig	10_VC-H-Msrca-Contig	10_VC-H-Sga-Contig	10_VC-H-Soap-Contig	10_VC-H-Spades-Contig	10_VC-H-Velvet-Contig	11_VC-M-Abyss-Contig	11_VC-M-Cabog-Contig	11_VC-M-Mira-Contig	11_VC-M-Msrca-Contig	11_VC-M-Sga-Contig	11_VC-M-Soap-Contig	11_VC-M-Spades-Contig	11_VC-M-Velvet-Contig	12_XA-H-Cabog-Contig	12_XA-H-Mira-Contig	12_XA-H-Msrca-Contig	12_XA-H-Sga-Contig	12_XA-H-Soap-Contig	12_XA-H-Spades-Contig	12_XA-H-Velvet-Contig
# contigs	54	94	118	28	144	41	47	53	374	163	610	210	567	284	252	282	87	77	132	68	361	79	113	373	149	136	174	109	281	149	110	142	96	127	82	63	304	71	74	138	149	856	532	325	666	91	73	203	520	534	640	106	577	720	163	586	382	146	731	58	830	354	105	332	92	56	110	39	150	52	44	60	153	127	152	91	351	100	162	213	196	241	154	163	326	186	146	156	89	1158	138	230	163	156	156
Total length	4969260	5004541	4958807	4914380	4869935	4888841	4929385	4886581	5805336	4796994	5641826	5624071	5471145	5599263	5729752	4966856	5380960	5419570	5413818	5432639	5368062	5341631	5395402	5310336	7036707	5213908	5340833	5392427	5209075	5262789	5319487	5261270	5123560	5116091	5151058	5144734	5122631	5136175	5132082	5126222	5116522	5116310	5431987	5418108	5232350	5133667	5158616	5136825	4542138	4214745	4494266	4479673	4211737	4440636	4628908	4475470	4503182	3952525	4609809	4246144	4563433	4527360	4588344	4485514	3034102	2796508	2853942	2892444	2787797	2822930	2854235	2824718	4086478	3855600	3957629	3989162	3890290	3932751	3939988	3914915	3904784	3953298	4011692	4030761	3931012	3924635	4035776	3944260	4836665	6022342	4928115	4798962	4900579	4971240	4889453
Largest contig	654090	710684	290325	1124684	199964	455879	592124	526254	257581	387299	524448	397830	108975	268115	459337	267159	430487	258489	311769	766822	106317	606530	346945	91844	419237	363813	378585	391846	188622	384109	534462	286976	610290	238341	338337	375149	101254	474277	627055	191465	245660	40668	279306	104386	59847	286460	498363	226629	66408	41321	110511	358962	75323	45522	291333	59062	71578	127844	67456	241348	44874	115051	286217	71713	244957	285328	379101	449789	173010	364183	350174	336190	280277	256726	316666	555664	108154	425556	214711	157783	178118	140691	450326	255146	105420	246179	741022	246346	312406	352831	322669	132038	196882	312376	307295
Reference length	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	5090491	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977	2903081	2903081	2903081	2903081	2903081	2903081	2903081	2903081	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4967469	4967469	4967469	4967469	4967469	4967469	4967469
GC (%)	61.53	61.60	61.57	61.61	61.62	61.61	61.54	61.61	35.20	34.96	35.21	35.21	35.18	35.19	35.26	35.48	35.30	35.41	35.42	35.39	35.30	35.28	35.36	35.29	43.43	43.41	43.47	43.45	43.45	43.47	43.47	43.46	64.10	64.10	64.11	64.13	64.11	64.09	64.11	64.11	64.10	64.08	64.09	64.10	64.08	64.09	64.02	64.07	68.72	68.94	68.89	68.87	68.70	68.88	68.83	68.76	68.77	69.06	68.75	68.90	68.79	68.83	68.81	68.77	32.92	32.73	32.75	32.85	32.63	32.69	32.78	32.73	47.57	47.53	47.50	47.50	47.54	47.52	47.51	47.50	47.56	47.52	47.48	47.47	47.53	47.56	47.37	47.52	65.19	64.17	65.08	65.20	65.12	65.04	65.12
Reference GC (%)	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	64.15	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79	32.73	32.73	32.73	32.73	32.73	32.73	32.73	32.73	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	64.92	64.92	64.92	64.92	64.92	64.92	64.92
N50	237457	278382	244066	828647	67129	243851	379681	180361	42572	79405	43373	97165	23397	57780	94312	44126	130570	155352	116480	246697	25767	246346	103691	24786	106769	95840	134263	158716	45047	125627	157732	125214	119446	81416	147272	246830	28734	148639	150258	60955	70424	8655	89612	36211	12890	131561	220161	47327	13523	12421	18568	176783	12872	11128	74486	13807	22050	41794	15792	142742	9224	33829	118093	24347	64963	111165	132448	221821	39954	146332	187080	122507	94508	61249	92000	241604	23808	135118	83518	40877	60973	33710	112926	76131	27573	71357	262160	92036	107676	91268	117883	49072	79834	117467	83025
NG50	237457	278382	246249	828647	68839	243851	379681	184389	48302	61625	47354	103595	23414	57933	97169	38930	130570	155352	116480	246697	25512	246346	103691	24465	146158	94207	134263	158716	41244	116105	157732	125214	119446	81416	147272	246830	28781	148639	150258	61615	70424	8716	114083	38240	13299	131561	220161	48155	13319	11358	17743	176783	12057	10600	83463	13087	21441	31540	15792	130714	9108	33491	118093	24248	73887	102839	132448	221821	38102	146332	187080	122507	94508	57883	92000	241604	23429	125939	77074	40085	60473	32790	112926	76131	27303	71357	262160	92036	105803	105619	117883	47829	74197	117467	83025
N75	121603	133236	137773	235264	38026	136903	129901	93861	19054	31477	15003	34913	10868	21257	37419	20909	69698	76333	52231	170659	16197	78462	60216	13917	56017	42294	84346	74628	26391	58562	86371	59460	68977	42966	109542	110872	17153	88169	94999	37038	39013	4755	46469	18405	7614	68567	122266	25959	8662	7179	9191	102004	6960	5955	47310	7500	11736	22363	8236	102371	4941	16889	53389	14804	38351	56580	50006	123428	28545	92436	105739	52580	58395	29636	56477	85155	12382	65780	46841	22754	27970	17245	59711	45736	15449	37218	136216	43442	55276	21435	61875	23614	41329	63036	42656
NG75	122207	156215	140806	245339	40005	165019	137987	104748	21996	18467	18696	40080	11069	23414	48782	14779	65667	76333	52231	170659	15678	74856	57869	13213	92833	41281	84346	74628	24099	56336	86371	59261	68977	42966	109542	110872	17362	88169	107346	37038	39233	4805	51245	21642	8066	68982	122266	26101	8354	5447	8354	69776	5330	5310	47313	6852	11021	15957	8326	64787	4854	15849	53389	13982	39976	53749	50006	123428	23344	53313	105739	49888	59821	26097	55736	79323	10978	62739	44636	20673	24934	16374	56632	45736	14804	34893	136216	39974	52143	58443	61875	21743	41138	63036	41763
