All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      velvet
# misassemblies               3     
    # relocations             3     
    # translocations          0     
    # inversions              0     
# misassembled contigs        3     
Misassembled contigs length   17058 
# local misassemblies         2     
# mismatches                  117   
# indels                      54    
    # short indels (<= 5 bp)  51    
    # long indels (> 5 bp)    3     
Indels length                 77    
