All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      velvet  msrca
# misassemblies               6       6    
    # relocations             6       6    
    # translocations          0       0    
    # inversions              0       0    
# misassembled contigs        6       6    
Misassembled contigs length   82242   19317
# local misassemblies         1       2    
# mismatches                  61      205  
# indels                      52      55   
    # short indels (<= 5 bp)  50      53   
    # long indels (> 5 bp)    2       2    
Indels length                 82      75   
