Assembly	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet
# contigs (>= 0 bp)	894	617	164	78	687	164	259	90	30012	3344	3161	123	1127	50090	527	444
# contigs (>= 1000 bp)	325	82	163	77	437	96	180	55	463	320	248	73	179	99	251	351
Total length (>= 0 bp)	5879341	5431491	4797470	5419995	5670388	5422635	5640375	5440292	8771094	6180355	5991251	5352193	5962659	17888992	5016338	5325180
Total length (>= 1000 bp)	5771919	5376981	4796994	5419570	5517018	5389079	5602907	5422846	5397822	5340740	5573897	5337776	5678972	5385812	4944132	5295268
# contigs	374	87	163	77	610	132	210	68	567	361	284	79	252	113	282	373
Total length	5805336	5380960	4796994	5419570	5641826	5413818	5624071	5432639	5471145	5368062	5599263	5341631	5729752	5395402	4966856	5310336
Largest contig	257581	430487	387299	258489	524448	311769	397830	766822	108975	106317	268115	606530	459337	346945	267159	91844
Reference length	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283	5224283
GC (%)	35.20	35.30	34.96	35.41	35.21	35.42	35.21	35.39	35.18	35.30	35.19	35.28	35.26	35.36	35.48	35.29
Reference GC (%)	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58	35.58
N50	42572	130570	79405	155352	43373	116480	97165	246697	23397	25767	57780	246346	94312	103691	44126	24786
NG50	48457	130570	68746	155352	48092	116480	119395	337861	24578	26552	58377	246346	101608	105260	40368	24921
N75	19054	69698	31477	76333	15003	52231	34913	170659	10868	16197	21257	78462	37419	60216	20909	13917
NG75	23757	70047	21234	83639	20475	58582	47789	177353	12541	17410	25203	78614	55255	64958	16783	14414
L50	38	12	17	13	28	14	16	6	69	64	30	6	15	17	33	65
LG50	32	12	20	13	23	14	14	5	64	61	27	6	13	16	36	64
L75	92	26	43	26	85	32	40	13	155	129	74	16	38	34	74	136
LG75	71	25	56	24	67	29	33	12	139	122	62	15	30	32	84	131
# misassemblies	5	1	0	3	1	7	4	8	0	1	1	0	5	4	0	2
Misassembled contigs length	3003	29730	0	316206	995	467784	3269	274719	0	508	503	0	3725	1999	0	66858
# local misassemblies	2	23	0	6	0	12	1	11	0	1	1	20	0	12	0	9
# unaligned contigs	317 + 42 part	1 + 9 part	122 + 41 part	3 + 8 part	490 + 70 part	7 + 10 part	152 + 50 part	0 + 6 part	541 + 26 part	11 + 11 part	250 + 31 part	13 + 0 part	179 + 55 part	2 + 6 part	250 + 27 part	30 + 3 part
Unaligned contigs length	5755368	196126	4757247	196655	5551044	164489	5565814	196772	5444412	196867	5562696	197377	5659887	198047	4924740	191342
Genome fraction (%)	0.824	98.498	0.612	99.316	1.617	99.256	0.933	99.220	0.508	98.516	0.683	98.414	1.090	98.997	0.789	97.939
Duplication ratio	1.163	1.012	1.244	1.008	1.075	1.018	1.198	1.013	1.008	1.005	1.026	1.003	1.229	1.007	1.022	1.003
# N's per 100 kbp	0.00	102.42	0.00	0.00	4.54	3.53	0.00	0.00	0.00	0.00	0.00	0.00	16.04	4.10	0.00	0.00
# mismatches per 100 kbp	3383.28	6.59	3550.71	4.95	3381.23	4.88	2881.27	9.34	3977.69	0.87	3904.84	9.20	2353.02	13.03	3487.03	6.12
# indels per 100 kbp	209.06	8.11	310.54	2.39	117.36	2.20	205.49	3.63	118.45	2.00	142.17	2.98	179.25	2.92	118.84	3.17
# genes	95 + 11 part	5584 + 65 part	59 + 14 part	5698 + 59 part	119 + 77 part	5692 + 75 part	112 + 23 part	5727 + 39 part	22 + 6 part	5465 + 217 part	49 + 4 part	5605 + 51 part	88 + 24 part	5662 + 66 part	46 + 7 part	5349 + 300 part
Largest alignment	9186	430487	5194	258489	5197	311769	9186	766822	5197	106317	9186	606357	9186	346882	9186	91844
NA50	-	130570	-	150479	-	100038	-	246697	-	25425	-	246346	-	103691	-	24577
NGA50	-	130570	-	155352	-	102705	-	337861	-	25876	-	246346	-	105260	-	24921
NA75	-	65667	-	66337	-	51055	-	170659	-	14810	-	78462	-	57465	-	13419
NGA75	-	70047	-	81015	-	52231	-	177353	-	16197	-	78614	-	60216	-	13814
LA50	-	12	-	14	-	15	-	6	-	65	-	6	-	17	-	66
LGA50	-	12	-	13	-	14	-	5	-	62	-	6	-	16	-	64
LA75	-	26	-	27	-	34	-	13	-	132	-	16	-	35	-	138
LGA75	-	25	-	25	-	31	-	12	-	125	-	15	-	33	-	133
