Assembly	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet
# contigs (>= 0 bp)	147	328	127	857	16036	2167	66	326	679	1230	143	197	99	910	189	286
# contigs (>= 1000 bp)	87	131	127	856	59	103	57	316	281	612	65	84	60	53	132	189
Total length (>= 0 bp)	5134453	5149082	5116091	5116733	7760947	5922392	5146013	5418490	5183701	5380709	5150322	5152802	5139836	5412372	5136597	5161555
Total length (>= 1000 bp)	5116313	5104376	5116091	5116310	5136999	5167879	5140375	5411756	5107561	5193149	5131712	5128622	5122962	5146535	5122117	5127654
# contigs	96	149	127	856	82	532	63	325	304	666	71	91	74	73	138	203
Total length	5123560	5116522	5116091	5116310	5151058	5431987	5144734	5418108	5122631	5232350	5136175	5133667	5132082	5158616	5126222	5136825
Largest contig	610290	245660	238341	40668	338337	279306	375149	104386	101254	59847	474277	286460	627055	498363	191465	226629
Reference length	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172	5067172
GC (%)	64.10	64.10	64.10	64.08	64.11	64.09	64.13	64.10	64.11	64.08	64.09	64.09	64.11	64.02	64.11	64.07
Reference GC (%)	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13	64.13
N50	119446	70424	81416	8655	147272	89612	246830	36211	28734	12890	148639	131561	150258	220161	60955	47327
NG50	119446	70424	81416	8726	147272	114083	246830	38240	28781	13391	148639	131561	150258	220161	61615	48155
N75	68977	39013	42966	4755	109542	46469	110872	18405	17153	7614	88169	68567	94999	122266	37038	25959
NG75	68977	39233	43785	4858	109542	53780	110872	21939	17379	8099	89212	68982	107346	122266	37549	26238
L50	15	24	21	176	12	15	9	52	55	126	11	14	10	8	28	35
LG50	15	24	21	173	12	13	9	48	54	120	11	14	10	8	27	34
L75	29	48	43	378	22	36	17	104	110	255	22	29	20	16	54	71
LG75	29	47	42	370	22	30	17	91	108	240	21	28	19	16	53	69
# misassemblies	4	2	7	122	22	1085	6	70	3	6	8	5	4	6	4	72
Misassembled contigs length	302822	92402	612517	617425	1331243	2501821	1062986	471137	114888	78397	1261153	771028	551561	925594	215454	1569654
# local misassemblies	8	2	6	5	6	18	2	2	1	1	16	19	5	4	9	3
# unaligned contigs	0 + 3 part	0 + 5 part	0 + 6 part	5 + 14 part	0 + 1 part	2 + 2 part	0 + 0 part	1 + 14 part	0 + 3 part	5 + 5 part	1 + 1 part	1 + 1 part	0 + 1 part	20 + 0 part	0 + 2 part	1 + 7 part
Unaligned contigs length	66194	78075	65602	75046	25	19005	0	72188	66157	72708	17284	17284	54213	16591	66112	46877
Genome fraction (%)	99.529	99.382	99.345	96.629	99.845	99.879	99.799	98.833	99.314	99.532	99.653	99.595	99.699	99.871	99.603	99.420
Duplication ratio	1.019	1.004	1.004	1.030	1.027	1.075	1.018	1.068	1.005	1.023	1.022	1.028	1.013	1.020	1.019	1.018
# N's per 100 kbp	12.10	4.28	0.70	0.00	2.06	3.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.57	0.00	0.00
# mismatches per 100 kbp	3.93	1.59	8.55	4.15	5.69	4.47	49.65	2.92	1.10	1.45	1.71	2.08	2.14	4.68	3.05	2.48
# indels per 100 kbp	2.19	1.41	5.83	0.74	0.87	0.75	6.53	1.66	1.50	0.42	1.25	1.31	1.68	1.07	0.92	0.70
Largest alignment	610150	245660	238341	40668	313312	257874	309535	104372	101254	59847	474277	261142	627055	498363	191465	130350
NA50	111763	67488	78165	8265	129075	69002	187809	35496	27712	12516	147199	113272	147871	209894	58337	40129
NGA50	115738	68549	78165	8421	129075	74997	187809	37156	27760	12871	147199	113272	147871	209894	60267	41485
NA75	63561	35186	38766	4459	88214	33655	88132	17197	15475	6950	75472	63022	80282	89745	34078	20444
NGA75	63561	36304	40137	4537	88214	42986	88132	20043	16215	7675	75472	63420	80282	95280	35836	20620
LA50	16	25	23	182	15	23	10	53	57	130	12	15	10	9	29	40
LGA50	15	24	23	179	15	20	10	49	56	124	12	15	10	9	28	39
LA75	31	50	47	395	26	50	19	109	116	265	24	32	21	18	57	83
LGA75	31	49	46	386	26	42	19	94	113	248	24	31	21	17	56	81
