Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# contigs (>= 0 bp)	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655
# contigs (>= 1000 bp)	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307
Total length (>= 0 bp)	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774
Total length (>= 1000 bp)	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985
# contigs	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332
Total length	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514
Largest contig	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713
Reference length	100827	100827	100827	100827	100827	100827	100827	100827	100827	100827	100827	100827	100827	100827	100827	100827
GC (%)	68.72	68.77	68.94	69.06	68.89	68.75	68.87	68.90	68.70	68.79	68.88	68.83	68.83	68.81	68.76	68.77
Reference GC (%)	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83	63.83
N50	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347
NG50	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713
N75	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804
NG75	55823	66861	40728	127844	110511	64176	358962	241348	61836	39550	40274	115051	291333	286217	53938	70664
L50	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58
LG50	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1
L75	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115
LG75	2	2	2	1	1	2	1	1	2	2	2	1	1	1	2	2
# misassemblies	0	0	0	-	0	0	0	0	0	0	0	0	1	0	0	0
Misassembled contigs length	0	0	0	-	0	0	0	0	0	0	0	0	4413	0	0	0
# local misassemblies	0	0	0	-	0	1	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	497 + 6 part	362 + 1 part	528 + 1 part	146 + 0 part	586 + 10 part	665 + 8 part	85 + 9 part	47 + 4 part	551 + 1 part	798 + 10 part	692 + 2 part	322 + 5 part	144 + 5 part	86 + 10 part	564 + 1 part	312 + 2 part
Unaligned contigs length	4432385	4407148	4190267	3952525	4410928	4495309	4389716	4174887	4147304	4458442	4369705	4436134	4521355	4480821	4382662	4395296
Genome fraction (%)	93.821	94.939	24.206	-	79.485	98.140	84.806	65.701	63.744	98.429	70.033	88.260	97.752	98.161	91.713	88.728
Duplication ratio	1.160	1.003	1.003	-	1.040	1.159	1.052	1.076	1.003	1.058	1.005	1.025	1.093	1.086	1.004	1.008
# N's per 100 kbp	0.18	0.00	0.00	5.31	5.36	2.58	0.00	0.00	0.00	0.00	0.00	0.00	14.93	10.16	0.00	0.00
# mismatches per 100 kbp	97.25	39.70	12.29	-	144.03	156.31	112.14	120.33	3.11	62.52	69.39	70.79	37.61	30.34	18.38	27.94
# indels per 100 kbp	3.17	0.00	20.49	-	3.96	11.62	13.41	9.38	0.00	8.07	0.00	3.37	1.02	5.06	0.00	0.00
# genes	100 + 8 part	97 + 13 part	24 + 4 part	-	56 + 38 part	81 + 31 part	86 + 6 part	74 + 3 part	62 + 23 part	100 + 12 part	67 + 21 part	88 + 19 part	105 + 6 part	110 + 1 part	95 + 13 part	96 + 10 part
Largest alignment	21337	19195	11934	-	5925	19572	40930	37848	9685	17080	12235	20901	34817	33626	19195	19177
NGA50	12219	11804	-	-	1811	2726	13873	22439	1877	12049	2422	8234	17512	30601	11754	11548
NGA75	5081	3525	-	-	662	1422	3274	-	-	4747	-	1536	12038	22006	2953	2725
LGA50	4	4	-	-	14	8	2	2	14	4	9	4	2	2	4	4
LGA75	7	7	-	-	39	21	6	-	-	7	-	11	4	3	8	9
