Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# misassemblies	1	0	1	2	1	3	1	1	0	0	1	0	0	1	1	0
    # relocations	1	0	1	2	1	3	1	1	0	0	1	0	0	1	1	0
    # translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	0	1	2	1	3	1	1	0	0	1	0	0	1	1	0
Misassembled contigs length	8523	0	3870	84753	5798	46723	557	563	0	0	11354	0	0	134342	2649	0
# local misassemblies	1	1	1	1	1	1	1	2	1	1	3	2	2	1	2	2
# mismatches	95	76	388	102	399	447	683	152	8	13	235	7	141	150	97	265
# indels	6	5	41	4	48	43	6	9	4	4	22	5	8	9	5	5
    # short indels (<= 5 bp)	6	5	38	4	47	43	6	9	4	4	17	4	7	8	5	5
    # long indels (> 5 bp)	0	0	3	0	1	0	0	0	0	0	5	1	1	1	0	0
Indels length	6	5	90	4	55	44	6	9	4	4	219	12	41	32	5	5
