All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      VC-H-Abyss  VC-M-Abyss  VC-H-Cabog  VC-M-Cabog  VC-H-Mira  VC-M-Mira  VC-H-Msrca  VC-M-Msrca  VC-H-Sga  VC-M-Sga  VC-H-Soap  VC-M-Soap  VC-H-Spades  VC-M-Spades  VC-H-Velvet  VC-M-Velvet
# misassemblies               1           1           12          8           14         34         2           6           1         1         6          7          3            2            3            6          
    # relocations             1           1           12          8           14         34         2           6           1         1         6          7          3            2            3            6          
    # translocations          0           0           0           0           0          0          0           0           0         0         0          0          0            0            0            0          
    # inversions              0           0           0           0           0          0          0           0           0         0         0          0          0            0            0            0          
# misassembled contigs        1           1           7           8           12         24         2           6           1         1         4          7          3            2            3            6          
Misassembled contigs length   8770        8436        42198       22901       26402      64057      15284       19317       7351      8582      29565      31040      13682        16575        15104        82242      
# local misassemblies         6           0           2           1           2          3          1           2           0         0         17         19         1            2            4            1          
# mismatches                  140         119         359         243         349        187        748         205         100       43        241        135        142          84           70           61         
# indels                      98          47          87          54          61         79         86          55          46        48        72         99         54           55           123          52         
    # short indels (<= 5 bp)  87          47          86          52          59         74         82          53          46        48        63         97         52           52           117          50         
    # long indels (> 5 bp)    11          0           1           2           2          5          4           2           0         0         9          2          2            3            6            2          
Indels length                 241         51          112         72          82         158        129         75          50        51        160        126        71           94           168          82         
