Assembly	XA-H-Abyss	XA-H-Cabog	XA-H-Mira	XA-H-Msrca	XA-H-Sga	XA-H-Soap	XA-H-Spades	XA-H-Velvet
# misassemblies	2	1	0	0	6	0	0	0
    # relocations	2	1	0	0	6	0	0	0
    # translocations	0	0	0	0	0	0	0	0
    # inversions	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	0	0	5	0	0	0
Misassembled contigs length	60758	18508	0	0	256146	0	0	0
# local misassemblies	14	6	7	7	22	6	8	12
# mismatches	15970	9845	10503	10183	30389	13115	9276	12158
# indels	707	415	388	474	1105	468	323	551
    # short indels (<= 5 bp)	692	407	379	468	1079	455	315	542
    # long indels (> 5 bp)	15	8	9	6	26	13	8	9
Indels length	1032	649	607	609	1575	709	498	762
