All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     BC-M-Abyss      BC-M-Cabog      BC-M-Mira       BC-M-Msrca      BC-M-Sga         BC-M-Soap       BC-M-Spades     BC-M-Velvet    
# contigs (>= 0 bp)          617             78              164             90              3344             123             50090           444            
# contigs (>= 1000 bp)       82              77              96              55              320              73              99              351            
Total length (>= 0 bp)       5431491         5419995         5422635         5440292         6180355          5352193         17888992        5325180        
Total length (>= 1000 bp)    5376981         5419570         5389079         5422846         5340740          5337776         5385812         5295268        
# contigs                    87              77              132             68              361              79              113             373            
Total length                 5380960         5419570         5413818         5432639         5368062          5341631         5395402         5310336        
Largest contig               430487          258489          311769          766822          106317           606530          346945          91844          
Reference length             5224283         5224283         5224283         5224283         5224283          5224283         5224283         5224283        
GC (%)                       35.30           35.41           35.42           35.39           35.30            35.28           35.36           35.29          
Reference GC (%)             35.58           35.58           35.58           35.58           35.58            35.58           35.58           35.58          
N50                          130570          155352          116480          246697          25767            246346          103691          24786          
NG50                         130570          155352          116480          337861          26552            246346          105260          24921          
N75                          69698           76333           52231           170659          16197            78462           60216           13917          
NG75                         70047           83639           58582           177353          17410            78614           64958           14414          
L50                          12              13              14              6               64               6               17              65             
LG50                         12              13              14              5               61               6               16              64             
L75                          26              26              32              13              129              16              34              136            
LG75                         25              24              29              12              122              15              32              131            
# misassemblies              1               3               7               8               1                0               4               2              
Misassembled contigs length  29730           316206          467784          274719          508              0               1999            66858          
# local misassemblies        23              6               12              11              1                20              12              9              
# unaligned contigs          1 + 9 part      3 + 8 part      7 + 10 part     0 + 6 part      11 + 11 part     13 + 0 part     2 + 6 part      30 + 3 part    
Unaligned contigs length     196126          196655          164489          196772          196867           197377          198047          191342         
Genome fraction (%)          98.498          99.316          99.256          99.220          98.516           98.414          98.997          97.939         
Duplication ratio            1.012           1.008           1.018           1.013           1.005            1.003           1.007           1.003          
# N's per 100 kbp            102.42          0.00            3.53            0.00            0.00             0.00            4.10            0.00           
# mismatches per 100 kbp     6.59            4.95            4.88            9.34            0.87             9.20            13.03           6.12           
# indels per 100 kbp         8.11            2.39            2.20            3.63            2.00             2.98            2.92            3.17           
# genes                      5584 + 65 part  5698 + 59 part  5692 + 75 part  5727 + 39 part  5465 + 217 part  5605 + 51 part  5662 + 66 part  5349 + 300 part
Largest alignment            430487          258489          311769          766822          106317           606357          346882          91844          
NA50                         130570          150479          100038          246697          25425            246346          103691          24577          
NGA50                        130570          155352          102705          337861          25876            246346          105260          24921          
NA75                         65667           66337           51055           170659          14810            78462           57465           13419          
NGA75                        70047           81015           52231           177353          16197            78614           60216           13814          
LA50                         12              14              15              6               65               6               17              66             
LGA50                        12              13              14              5               62               6               16              64             
LA75                         26              27              34              13              132              16              35              138            
LGA75                        25              25              31              12              125              15              33              133            
