Assembly	V_cholerae_MiSeq_abyss_scf
# contigs (>= 0 bp)	103
# contigs (>= 1000 bp)	94
Total length (>= 0 bp)	2899462
Total length (>= 1000 bp)	2893136
# contigs	103
Total length	2899462
Largest contig	178118
Reference length	2961149
GC (%)	47.68
Reference GC (%)	47.70
N50	69573
NG50	67178
N75	28113
NG75	25717
L50	14
LG50	15
L75	30
LG75	32
# misassemblies	1
Misassembled contigs length	62005
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned contigs length	0
Genome fraction (%)	97.857
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3.21
# indels per 100 kbp	1.93
Largest alignment	178118
NA50	69573
NGA50	67178
NA75	28113
NGA75	25717
LA50	14
LGA50	15
LA75	30
LGA75	32
