All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      dataset_650.dat
# misassemblies               8              
    # relocations             8              
    # translocations          0              
    # inversions              0              
# misassembled contigs        7              
Misassembled contigs length   230278         
# local misassemblies         34             
# mismatches                  241            
# indels                      116            
    # short indels (<= 5 bp)  105            
    # long indels (> 5 bp)    11             
Indels length                 267            
