Assembly	cabog_ctg
# contigs (>= 200 bp)	127
# contigs (>= 1000 bp)	127
Total length (>= 200 bp)	3855600
Total length (>= 1000 bp)	3855600
# contigs	127
Total length	3855600
Largest contig	256726
Reference length	4033464
GC (%)	47.53
Reference GC (%)	47.49
N50	61249
NG50	57883
N75	29636
NG75	26097
L50	19
LG50	21
L75	43
LG75	48
# misassemblies	20
Misassembled contigs length	385832
# local misassemblies	11
# unaligned contigs	0 + 0 part
Unaligned contigs length	0
Genome fraction (%)	95.623
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	17.01
# indels per 100 kbp	7.34
# genes	3374 + 123 part
Largest alignment	256726
NA50	57813
NGA50	53007
NA75	28288
NGA75	25832
LA50	21
LGA50	22
LA75	46
LGA75	51
