All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      cabog_ctg
# misassemblies               20       
    # relocations             17       
    # translocations          3        
    # inversions              0        
# misassembled contigs        14       
Misassembled contigs length   385832   
# local misassemblies         11       
# mismatches                  656      
# indels                      283      
    # short indels (<= 5 bp)  280      
    # long indels (> 5 bp)    3        
Indels length                 328      
