Assembly	cabog_ctg
Contigs #	127
Min contig	1244
Max contig	256726
N50	57883 COUNT: 21
Genome size	4033464
Assembly size	3855600
Chaff bases	0
Missing reference bases	135942(3.37%)
Missing assembly bases	1548(0.04%)
Missing assembly contigs	0(0.00%)
Duplicated reference bases	1827
Compressed reference bases	53441
Bad trim	1548
Avg idy	99.97
SNPs	271
Indels < 5bp	224
Indels >= 5	12
Inversions	1
Relocation	15
Translocation	2
Corrected contig #	156
Corrected assembly size	3858505
Min correct contig	554
Max correct contig	180826
Corrected N50	44942 COUNT: 26
