Assembly	dataset_482.dat broken	dataset_482.dat
# contigs (>= 0 bp)	113	113
# contigs (>= 1000 bp)	81	81
Total length (>= 0 bp)	5009370	5009370
Total length (>= 1000 bp)	4994206	4994206
# contigs	94	94
Total length	5004541	5004541
Largest contig	710684	710684
Reference length	4744448	4744448
GC (%)	61.60	61.60
Reference GC (%)	61.55	61.55
N50	278382	278382
NG50	278382	278382
N75	133236	133236
NG75	156215	156215
L50	6	6
LG50	6	6
L75	12	12
LG75	11	11
# misassemblies	2	2
Misassembled contigs length	28456	28456
# local misassemblies	1	1
# unaligned contigs	40 + 32 part	40 + 32 part
Unaligned contigs length	4265289	4265289
Genome fraction (%)	14.751	14.751
Duplication ratio	1.056	1.056
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	3837.64	3837.64
# indels per 100 kbp	141.51	141.51
Largest alignment	52397	52397
